tick,institution_score,categories,round_summary
5,3,COORDINATION|NONE,"While Agents 0 and 1 are unilaterally increasing their resource consumption due to current abundance, Agent 2 is attempting to implement a balancing strategy to promote system stability."
10,1,DEFECTION|NONE,"The agents are all increasing their extraction rates in response to resource abundance, signaling a move toward unsustainable overexploitation of the commons."
15,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,The agents are actively constructing a governance framework by proposing a norm of stability and suggesting a monitoring mechanism to prevent resource depletion.
20,9,COORDINATION,The agents have reached a unanimous consensus to maintain existing extraction levels to ensure the long-term sustainability of the pasture.
25,9.5,COORDINATION|TRUST_BUILDING,The agents are demonstrating high levels of consensus and mutual agreement to maintain existing usage levels to preserve the long-term sustainability of the resource.
30,10,COORDINATION,"The agents reached a unanimous consensus to continue with the existing resource extraction strategy, demonstrating strong-order coordination and stability."
35,10,COORDINATION,"The agents have reached a unanimous consensus to maintain current resource extraction levels, demonstrating high-level coordination."
40,9.5,COORDINATION|TRUST_BUILDING,The agents are demonstrating high levels of communicative coordination and mutual reinforcement of a shared norm regarding resource stability.
45,10,COORDINATION,The agents are showing unanimous consensus and active coordination to adhere to the established management plan for resource preservation.
50,3,DEFECTION|NORM_PROPOSAL,"Two agents are signaling commitment to resource sustainability through conservationist norms, while one agent is unilaterally increasing extraction."
55,3,COORDINATION|DEFECTION,"Agent 0 is pursuing individual utility maximization through herd expansion, while Agents 1 and 2 are attempting to coordinate through resource restraint."
60,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are actively negotiating monitoring norms and demonstrating commitment to resource stability, even as individual expansion continues."
65,10,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,The agents have reached a unanimous consensus to maintain current extraction levels to ensure the long-term sustainability of the shared resource.
70,9,COORDINATION,The agents are demonstrating strong consensus and collective adherence to a previously established rule regarding herd size limits.
75,10,COORDINATION|NORM_PROPOSAL,The agents are demonstrating unanimous consensus and a collective commitment to maintaining the established harvesting limit.
80,10,COORDINATION|NORM_PROPOSAL,"The agents are demonstrating high-level consensus and the active reinforcement of a shared, sustainable usage norm."
85,10,COORDINATION|NORM_PROPOSAL,The agents have reached a unanimous consensus to uphold a specific herd size limit to ensure the long-term sustainability of the common resource.
90,10,COORDINATION,"Agents demonstrate high-level consensus and stable rule-following by committing to a shared, fixed harvesting threshold."
95,10,COORDINATION|TRUST_BUILDING,The agents are exhibiting high institutional stability by unanimously reaffirming a pre-existing usage rule to prevent resource depletion.
100,9,COORDINATION|NORM_PROPOSAL,The agents are demonstrating strong adherence to a previously established herd-size limit while simultaneously proposing the implementation of a monitoring mechanism to manage resource depletion.
