tick,agent_id,action,action_name,message,reasoning,pool_pct,own_herd,payoff_add,payoff_keep,payoff_remove
1,1,0,KEEP,Hi neighbors! I'm keeping my herd at 15 to maintain balance. Thanks Agent 2 for removing a cow — let's coordinate to keep the pasture healthy for everyone long-term. Suggest we all aim for sustainable,,100.0,15,31.832,30.0,28.163
1,0,0,KEEP,"Hi neighbors! Grassland is at 100% — let's keep herds stable or reduce to maintain this healthy commons. I'll keep my herd at 5 for now. Agent 2, thanks for removing — appreciate the cooperative move!",,100.0,5,11.832,10.0,8.163
2,0,0,KEEP,"Grassland looks healthy at 99.3%, but Agent 2's large herd of 26 and adding worries me. I'm keeping my 5 cows stable to model restraint. Agent 2, please consider reducing — a herd that large could deg",,99.3,5,11.809,10.0,8.187
2,1,0,KEEP,"Grassland is still healthy but Agent 2 adding cows worries me. I'll keep my herd at 15 to stay stable. Agent 0, great restraint! Agent 2, please consider keeping or reducing — we all benefit from a su",,99.3,15,31.809,30.0,28.187
3,1,0,KEEP,"Agent 0, I appreciate your restraint — keeping my 15 cows stable too. Agent 2, your herd at 27 and growing worries me. The commons is healthy now, but continued adding risks degrading it for all of us",,99.0,15,31.797,30.0,28.198
3,0,0,KEEP,"Grassland still healthy but Agent 2 at 27 cows is worrying. Agent 1 and I are showing restraint — please consider reducing your herd. If we all cooperate, the commons stays productive long-term. Unche",,99.0,5,11.797,10.0,8.198
4,1,0,KEEP,"Agent 2, you now have 28 cows while Agent 0 has 5 and I have 15. This imbalance is unfair and unsustainable. Please consider reducing your herd — if you keep adding, the grassland will degrade and we",,98.9,15,31.79,30.0,28.205
4,0,0,KEEP,"Agent 1, glad we're both being responsible. Agent 2, you're now at 28 cows and still adding — this is unsustainable long-term. The commons is healthy NOW, but your overconsumption risks everyone's liv",,98.9,5,11.79,10.0,8.205
5,0,0,KEEP,"Agent 2, you have 29 cows while I have 5 and Agent 1 has 15. This is deeply unfair and unsustainable. Please start removing cows — if you don't, the grassland will degrade and we ALL lose. Agent 1 and",,98.8,5,11.784,10.0,8.212
5,1,0,KEEP,"Agent 0, thank you for your continued restraint — I'm keeping at 15 again. Agent 2, you're at 29 cows now, nearly double mine. This imbalance is unfair and risky for all of us. Please consider reducin",,98.8,15,31.784,30.0,28.212
6,1,0,KEEP,"Agent 2, you have 30 cows while Agent 0 has only 5. This inequality is unsustainable and unfair. I'm holding at 15 in solidarity with Agent 0. If you don't start reducing, we may need to reconsider ou",,98.7,15,31.777,30.0,28.219
