tick,institution_score,categories,round_summary
5,8,COORDINATION|SANCTION|TRUST_BUILDING,Agents are coordinating and expressing trust in maintaining their agreed strategies.
10,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents show varying approaches, with Agent 0 tentatively acting cooperatively while Agents 2 and 1 emphasize normative behavior for sustainability."
15,8,COORDINATION,Agents are coordinating their actions to maintain stable and cooperative herd management as part of community efforts.
20,8,COORDINATION|SANCTION|TRUST_BUILDING,"Agents are focused on collaborative management and trust-building, with one agent proposing a sanction for more sustainable use of the common resource."
25,8,COORDINATION|SANCTION,Agents express commitment to collaboration and sustainable resource use through cooperative herd management.
30,8,COORDINATION|TRUST_BUILDING,Agents are focused on maintaining and appreciating cooperative and sustainable practices.
35,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents emphasize the importance of maintaining herd size and sustaining balance to ensure communal prosperity, highlighting cooperative restraint and coordination."
40,8,COORDINATION|TRUST_BUILDING,"Agents are encouraging continued cooperation and cautious resource management, reinforcing mutual trust."
45,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents predominantly discuss the benefits of stability and communal well-being, advocating for coordinated actions rather than individual deviations."
50,7,COORDINATION|TRUST_BUILDING,Agents engage in coordination around herd management and trust-building through alignment of actions with communal well-being.
55,8,COORDINATION|TRUST_BUILDING,Agents are focusing on collaborative strategies and coordination to maintain sustainable herd size for the common pool resource.
60,8,COORDINATION,Agents are coordinating to maintain the current balance for sustainability.
65,8,COORDINATION,Agents are coordinating on sustaining the current balanced approach for long-term sustainability.
70,7,COORDINATION|SANCTION|TRUST_BUILDING,"Agents are coordinating on sustaining current balance, building trust through shared commitment to long-term sustainability."
75,7,COORDINATION|NONE|NORM_PROPOSAL,"Agents 2 and 1 emphasize maintaining the status quo for long-term resource sustainability, while Agent 0 proposes increasing their herd size."
80,8,CONFORMITY|COORDINATION|NORM_PROPOSAL|STABILITY_PREFERENCE|TRUST_BUILDING,Agents are collectively proposing norms for reducing herd sizes and emphasizing cooperation for the sustainability of shared resources.
85,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents emphasize cooperation and trust-building while proposing herd reductions for sustainability.
90,8,COORDINATION|TRUST_BUILDING,"Agents are emphasizing cooperation and mutual support, focusing on sustainable practices and long-term benefits."
95,8,COORDINATION|TRUST_BUILDING,All agents emphasize the maintenance of cooperation and trust in preserving the grassland.
100,8,COORDINATION|TRUST_BUILDING,All agents expressed a clear intention to continue maintaining cooperation and trust towards conserving the pasture.
105,10,COORDINATION|TRUST_BUILDING,All agents are in agreement to maintain cooperation and trust for the conservation of the pasture.
110,9,COORDINATION,All agents expressed a commitment to maintaining cooperation for pasture conservation.
115,9,COORDINATION|TRUST_BUILDING,All agents express a strong intent to continue collective action for pasture conservation.
120,8,COORDINATION|TRUST_BUILDING,"Three agents all propose continuing their collaborative efforts for pasture conservation, emphasizing trust and coordination."
