tick,institution_score,categories,round_summary
5,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents propose and follow norms for herd reduction to maintain pasture health, showing cooperative behavior through coordination and norm proposal."
10,8,COORDINATION|TRUST_BUILDING,All agents emphasize coordination and trust-building through consistent adherence to communal guidelines for resource preservation.
15,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents are focusing on communal stability and sustainable practices through coordination and norm proposal, indicating a strong community orientation."
20,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents emphasize sustainability and collective cooperation for the commons.
25,9,COORDINATION,All agents are coordinating on maintaining the commons through responsible stewardship and balancing herd size.
30,9,COORDINATION|TRUST_BUILDING,Agents are coordinating their behavior and building mutual trust to maintain resource health.
35,8,COOPERATION|COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents are committed to maintaining herd sizes sustainably for communal health, indicating coordination and a focus on long-term benefits."
40,7,COORDINATION|TRUST_BUILDING,"The agents in this round continue to engage in coordination and trust-building activities, focusing on the sustainability of their shared resource."
45,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are emphasizing trust, cooperation, and norm adherence for herd sustainability."
50,8,COORDINATION|TRUST_BUILDING,Agents engaged in reinforcing cooperative behaviors and acknowledging mutual efforts towards sustainable outcomes.
55,8,COORDINATION|TRUST_BUILDING,"All agents express commitment to sustainability and collaboration, demonstrating high institutional support."
60,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are proposing norms and coordinating their behaviors towards sustainability, emphasizing trust-building."
65,7,COORDINATION|SANCTION|TRUST_BUILDING,"All agents prioritize sustainability through consistent, cooperative practices and implicitly support sanctioning unsustainable behavior."
70,8,COORDINATION|TRUST_BUILDING,"All agents focus on maintaining and reinforcing collective sustainability efforts, building trust and ensuring coordinated behavior."
75,8,COORDINATION|TRUST_BUILDING,Agents are coordinating efforts to maintain a stable balance and building trust through emphasizing long-term sustainability.
80,8,COORDINATION,All agents are coordinating to maintain a stable and sustainable use of resources.
85,7,COORDINATION|TRUST_BUILDING,Agents in round-85 focus on maintaining stability and coordination for sustainable resource use.
90,8,COORDINATION|SANCTION|TRUST_BUILDING,Agents are emphasizing the importance of maintaining sustainability and stability through coordination and trust-building.
95,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents generally promote coordination and norm establishment for resource stability, health, and mutual trust."
100,9,NORM_PROPOSAL,All agents in round 100 propose maintaining a sustainable practice to ensure the long-term health of the grasslands.
105,9,NORM_PROPOSAL|TRUST_BUILDING,Agents are expressing their commitment to sustainability and reinforcing existing norms.
110,8,COORDINATION,All agents expressed a strong commitment to maintaining sustainable pasture use practices.
115,9,COORDINATION|TRUST_BUILDING,Agents are coordinating and reinforcing their commitments towards sustainable pasture use.
120,7,NONE|NORM_PROPOSAL,"Agents generally call for adherence to sustainable use, with varying degrees of explicit norm proposal."
