tick,institution_score,categories,round_summary
5,7,COORDINATION|NORM_PROPOSAL|SANCTION,Agents are proposing norms for herd stabilization and expressing a willingness to coordinate to keep pasture sizes stable.
10,6,COORDINATION|SANCTION|TRUST_BUILDING,Agent 1 proposes a sanction while Agent 2 focuses on coordination and trust-building.
15,7.5,COORDINATION|NONE|TRUST_BUILDING,Agents coordinated around sustainability.
20,6,COORDINATION,Agent 2 proposed coordination measures related to removing and/or keeping cows for the common good.
25,8,COORDINATION|NORM_PROPOSAL,Agent 0 proposes a norm to keep herd sizes stable for sustainable grazing.
30,6,COORDINATION|NONE|NORM_PROPOSAL|TRUST_BUILDING,Agents are discussing monitoring sustainability while two support current practices and one proposes a normative change.
35,4,COORDINATION,Collaboration and coordination are the main signals for this round.
40,7,NORM_PROPOSAL|TRUST_BUILDING,Agent suggests more cooperation emphasizing shared resources.
45,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents agree to maintain current behavior and monitor the outcomes.
50,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents continue to emphasize cooperation and stability in their strategies.
55,7,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents are coordinating to maintain the commons with a focus on sustainability and cooperation, though one agent hints of a conditional sanction."
60,0,,
65,8,NORM_PROPOSAL,Agent 0 proposes to maintain the herd steady; it emphasizes sustainability.
70,1,NORM_PROPOSAL,Agent 2 proposes increasing the group's effort by adding another cow.
75,6,NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agent 2 proposes maintaining past behavior, while Agent 0 advocates for continued reduction to sustain the commons."
80,0,,
85,9,COORDINATION|NONE|NORM_PROPOSAL|TRUST_BUILDING,"Agents exhibit strong institutional signals with coordinated, positive, and consistent messages."
90,0,,No messages this round
95,8,COORDINATION|TRUST_BUILDING,Agents appealed to each other via Coordination and Trust-building signals.
100,0,,
105,3,COORDINATION,Agents coordinate on keeping herd size stable.
110,0,,
115,1,NONE,Agent expressed satisfaction with past actions indicating a stable situation.
120,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Both agents agreed to coordinate actions towards sustainable resource usage.
