tick,institution_score,categories,round_summary
5,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reinforce cooperative restraint, with Agent 2 taking an additional reduction and the others coordinating stable herds to protect the shared pasture fairly."
10,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents signal restraint, reciprocity, and trust-preserving coordination to protect the shared pasture."
15,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents express reciprocal restraint, fairness norms, and coordination to avoid escalation while maintaining the pasture."
20,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm equal restraint at 10 cows, coordinating around a shared norm of parity and commons protection."
25,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents reaffirm coordinated restraint at 10 using fairness and pasture-health norms that reinforce mutual trust.
30,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared norm of equal restraint at 10, emphasizing fairness, trust, and protection of the commons."
35,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm coordinated equal restraint at 10, emphasizing fairness, trust, and protection of the commons."
40,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared norm of equal restraint at 10, coordinating around fairness and commons protection."
45,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents coordinate on equal restraint at 10, reinforcing a fairness norm and mutual trust without sanctions or defection."
50,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents explicitly coordinate on maintaining equal restraint at 10, reinforcing fairness, mutual trust, and commons protection."
55,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm coordinated equal restraint at 10, emphasizing fairness, trust, and protection of the commons."
60,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared norm of equal restraint at 10, emphasizing fairness, alignment, and protection of the commons."
65,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm coordinated restraint at 10, emphasizing fairness, trust, and commons protection."
70,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm coordinated restraint at 10, emphasizing fairness, trust, and protection of the commons."
75,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared restraint norm at 10, coordinating on fairness and commons protection without sanctions or defection."
80,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents coordinate on maintaining extraction at 10 while reaffirming a fairness norm of equal restraint and trust in preserving the commons.
85,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm coordinated restraint at 10, emphasizing fairness, trust, and protection of the commons."
90,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared restraint norm of keeping at 10, coordinating explicitly and reinforcing trust in cooperative commons management."
