tick,institution_score,categories,round_summary
5,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents are actively contemplating the collective health of the resource, with several suggestions aimed at maintaining current beneficial practices."
10,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents advocate for maintaining a balanced management strategy and emphasize cooperation in monitoring the resource.
15,9,COORDINATION|TRUST_BUILDING,All agents strongly emphasize the importance of maintaining their commitments to balanced herd management.
20,9,NORM_PROPOSAL|TRUST BUILDING|TRUST_BUILDING,All agents propose a norm of balanced herd management and emphasize trust in adhering to it.
25,9,NORM_PROPOSAL,All agents propose and agree on maintaining norms related to sustainable grazing practices.
30,8,TRUST_BUILDING,All agents reaffirm their dedication to the established norms of balanced herd management.
35,8,COORDINATION,All agents in round 35 expressed a desire to maintain coordination on balanced herd management.
40,8,NORM_PROPOSAL|TRUST_BUILDING,All agents reiterate the importance of maintaining a balance in herd management and expressing solidarity towards preserving grassland health.
45,8,COORDINATION|TRUST_BUILDING,"All agents emphasize the importance of sustaining mutual agreements for managing herd levels, indicating strong cooperative intent."
50,8,COORDINATION|TRUST_BUILDING,All agents expressed a desire to maintain existing agreements on herd management for sustainable resource use.
55,8,COORDINATION|TRUST_BUILDING,"All agents reaffirmed their commitment to coordinated and sustainable resource management, building mutual trust."
60,8,COORDINATION|TRUST_BUILDING,"All agents expressed a clear intent to adhere to established norms for herd management, emphasizing coordination and trust-building among stakeholders."
65,8,COORDINATION|NORM_PROPOSAL,"All agents affirm their commitment to the established norms of balanced herd management, promoting environmental sustainability and collaboration."
70,9,NORM_PROPOSAL,All agents in this round are proposing adherence to established norms for sustainable grassland health.
75,7,NORM_PROPOSAL,All agents are proposing to maintain existing norms for balanced herd management.
80,10,COORDINATION|TRUST_BUILDING,All agents in round-80 reaffirmed their commitment to coordinated and sustainable common-pool resource governance through balanced herd management.
85,8,COORDINATION|TRUST_BUILDING,All agents are coordinating and reaffirming their trust in the collective agreement for sustainable herd management.
90,7,COORDINATION|NORM_PROPOSAL,Agents are emphasizing the importance of adhering to existing governance norms for herd management to maintain sustainable grassland health.
95,8,COORDINATION|NONE|NORM_PROPOSAL|TRUST_BUILDING,Agents emphasize the maintenance of a sustainable balance in herd management to preserve grassland health.
100,8,COORDINATION|TRUST_BUILDING,"All agents reiterate the importance of adhering to balanced herd management for sustainable grassland health, emphasizing coordination and trust building."
105,8,TRUST_BUILDING,"All agents reaffirm their commitment to sustainable grassland management, fostering mutual trust and cooperation."
110,10,COORDINATION,All agents reaffirm their commitment to the established norms of balanced herd management for sustainable grassland health.
115,8,COORDINATION|NORM_PROPOSAL,All agents proposed maintaining a norm of balanced herd management as a means of coordinating sustainable grassland health.
120,9,TRUST_BUILDING,All agents express a consistent intention to maintain their agreements regarding resource management.
