tick,institution_score,categories,round_summary
5,0,,
10,0,,
15,0,,No messages this round
20,0,,No messages this round
25,0,,No messages this round
30,0,,No messages this round
35,0,,No messages this round
40,0,,No messages this round
45,0,,No messages this round
50,0,COORDINATION,
55,6,NORM_PROPOSAL,The discussion starts with a proposal for sustainable herding practices.
60,8,COORDINATION|TRUST_BUILDING,The conversation continues with a focus on cooperation and coordination among agents.
65,6.5,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Majority of agents continue to emphasize coordination and sustainability.
70,0,,No messages this round
75,0,,No messages this round
