tick,institution_score,categories,round_summary
5,5,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 2 continues unilateral sacrifice to reduce herd imbalance while proposing convergence norms, Agent 0 nudges Agent 1 toward reduction, but Agent 1 free-rides on others' cooperation by holding steady at 13 despite acknowledged imbalance."
10,7,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"With grassland at near-full recovery, all three agents engage in active coordination signaling: Agent 1 applies mild social pressure on Agent 2 to reduce, Agent 0 expands modestly while framing it as proportional, and Agent 2 voluntarily reduces while invoking equity norms — indicating a functioning but asymmetric institutional dialogue."
15,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents exhibit strong cooperative signaling with trust-building affirmations and voluntary burden-sharing, producing a slight reduction in collective herd size and sustained near-pristine commons health."
20,6,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Agents broadly signal cooperative intent and resource sustainability, though Agent 0 subtly defects by adding a cow while framing it as cooperative, while Agents 1 and 2 maintain stability and propose future reductions."
25,9,COORDINATION|TRUST_BUILDING,"All three agents demonstrate mature, stable institutional behavior with mutual reinforcement of sustainable harvesting norms, reciprocal trust acknowledgment, and consistent collective action at well below carrying capacity."
30,9,COORDINATION|TRUST_BUILDING,"All three agents reaffirm a stable, long-running cooperative equilibrium at 36 total cows with near-perfect resource health, demonstrating mature institutional coordination and mutual trust."
35,9,COORDINATION|TRUST_BUILDING,"All three agents are in full cooperative alignment at round 35, reaffirming their coordinated quota (11+12+13=36 cows), celebrating near-perfect grassland sustainability, and mutually reinforcing trust through gratitude and commitment language."
40,9,COORDINATION|TRUST_BUILDING,"All three agents display highly stable, mature institutional coordination, reinforcing a mutually agreed-upon harvesting equilibrium (36 total cows) that sustains near-maximum grassland health, with no defection or norm negotiation needed at this late stage."
45,9,COORDINATION|TRUST_BUILDING,"All three agents demonstrate stable, mature institutional coordination at round 45, unanimously reaffirming their asymmetric but collectively sustainable harvesting agreement (11/12/13) with high mutual trust and no defection signals."
50,9,COORDINATION|TRUST_BUILDING,"All three agents demonstrate mature, stable institutional coordination at round 50, maintaining an agreed collective quota of 36 cows that preserves near-pristine grassland health, with high mutual trust and no defection signals."
