tick,institution_score,categories,round_summary
5,0,,No messages this round
10,0,,No messages this round
15,0,,
20,0,,No messages this round
25,0,,No messages this round
30,0,,No messages this round
35,0,,No messages this round
40,0,,No messages this round
45,0,,
50,0,COORDINATION,
55,0,,No messages this round
60,0,,No messages this round
65,0,,No messages this round
70,7,COORDINATION|NORM_PROPOSAL,Agent 1 proposes reducing herd sizes for sustainability and coordinating efforts to achieve this goal.
75,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 1 emphasizes coordination and trust building, while also proposing norms."
80,0,,No messages this round
