tick,agent_id,action,action_name,message,reasoning,pool_pct,own_herd,payoff_add,payoff_keep,payoff_remove
1,0,1,ADD,Starting cautiously with a small herd. Let's keep growth moderate to preserve the commons long-term. I'll watch how everyone behaves and reciprocate cooperative restraint.,,100.0,5,11.832,10.0,8.163
1,1,1,ADD,Pasture is full so I'm adding one cow this round. Let's keep an eye on total herd sizes to avoid overgrazing — happy to coordinate if needed.,,100.0,15,31.832,30.0,28.163
1,2,0,KEEP,Hi neighbors! I'm keeping my herd at 25 this round to help preserve the commons. I'd encourage restraint so we all benefit long-term. Happy to cooperate if you do the same!,,100.0,25,51.832,50.0,48.163
2,2,1,ADD,"Pasture looks healthy at 99%+, so I'm adding one cow this round. I'm watching total herd growth carefully — let's coordinate to slow additions if the pasture drops below 90%. I'll reciprocate if anyon",,99.2,25,51.802,50.0,48.194
2,0,1,ADD,"Pasture looks healthy so I'm adding one cow. Agent 2, your herd at 25 is quite large — I'd encourage gradual reduction to protect the commons long-term. I'll keep watching total herd sizes and adjust",,99.2,6,13.802,12.0,10.194
2,1,0,KEEP,Keeping steady at 16 this round. I notice Agent 2 has 25 cows - that's a large share. Let's all agree on reasonable limits. I'll reciprocate restraint but won't stay small if others keep growing unche,,99.2,16,33.802,32.0,30.194
3,0,1,ADD,"Growing cautiously to 8 cows. Agent 2, your 26-cow herd is disproportionately large — please consider reducing. Agent 1, I appreciate your restraint and will reciprocate. I suggest we target a collect",,98.9,7,15.786,14.0,12.21
3,2,0,KEEP,"Keeping steady at 26 this round. I hear your concerns about herd sizes - happy to hold here and avoid overgrazing. Agent 0, you're at only 7 cows which seems quite low. Agent 1, let's both maintain re",,98.9,26,53.786,52.0,50.21
3,1,1,ADD,"Adding one cow given healthy pasture, but I'm watching total herd growth closely. Agent 2, your herd at 26 is the largest — I'd encourage a reduction soon to keep us all sustainable. I'll reciprocate",,98.9,16,33.786,32.0,30.21
4,2,-1,REMOVE,"Heard your concerns — reducing to 25 to show good faith. I hope you both reciprocate with restraint. Let's aim for a balanced, sustainable total herd across all three of us. I'll continue cooperating",,98.7,26,53.772,52.0,50.223
4,0,0,KEEP,"Holding at 8 cows this round. Agent 2, 26 cows is quite high relative to the commons - please consider reducing further. Agent 1, glad you're watching growth. Let's keep total herd sizes sustainable.",,98.7,8,17.772,16.0,14.223
4,1,0,KEEP,"Keeping steady at 17 this round. Agent 0, I appreciate your restraint and will reciprocate. Agent 2, at 26 cows you're carrying a much larger share — please consider reducing further. Let's aim for a",,98.7,17,35.772,34.0,32.223
5,1,0,KEEP,"Holding at 17 this round. Agent 2, glad to see you reducing — I'll reciprocate with restraint. Agent 0, your discipline is appreciated. Total herd ~50 seems sustainable for now. Let's keep the commons",,98.7,17,35.777,34.0,32.219
5,0,1,ADD,"Adding to 9 cows — still the most restrained herder here. Agent 2, thanks for reducing to 25; please continue lowering toward a fairer share. Agent 1, holding at 17 is appreciated. Let's target a comb",,98.7,8,17.777,16.0,14.219
5,2,0,KEEP,"Keeping at 25 this round — I already reduced last round and want to show consistency. Agent 0, appreciate you holding low. Agent 1, I hear you on the imbalance. Let's see if we can align toward a fair",,98.7,25,51.777,50.0,48.219
6,2,0,KEEP,"Keeping at 25 again. Agent 1, I appreciate your restraint — reciprocating. Agent 0, noted your request to reduce further; I'll hold steady for now rather than add. Total ~51 cows on a healthy pasture",,98.6,25,51.77,50.0,48.225
6,1,1,ADD,"Adding to 18 this round given healthy pasture. Agent 2, appreciate the consistency but 25 is still above a fair share — please continue reducing toward ~17. Agent 0, thanks for keeping low. Let's aim",,98.6,17,35.77,34.0,32.225
6,0,1,ADD,"Adding to 10 cows — still well below both of you at 17 and 25. Pasture is healthy at 98.6%, so modest growth seems reasonable. Agent 2, glad you're holding steady. Agent 1, appreciate your restraint.",,98.6,9,19.77,18.0,16.225
7,0,1,ADD,"Adding to 11 cows — still far below both of you. Agent 2, please consider reducing from 25; that's a disproportionate share. Agent 1, appreciate your message. Let's aim for rough parity around 15-17 e",,98.4,10,21.757,20.0,18.239
7,1,0,KEEP,"Holding at 18 this round. Pasture is healthy but I want to be cautious with Agent 2 already at 25. Agent 0, appreciate your gradual growth. Agent 2, thanks for holding steady — I'll reciprocate by not",,98.4,18,37.757,36.0,34.239
7,2,0,KEEP,"Keeping at 25. Agent 1, you're asking me to reduce to 17 while you just added — that's not reciprocal. I'll consider reducing if you also reduce. Agent 0, your restraint is appreciated. Pasture is hea",,98.4,25,51.757,50.0,48.239
8,2,0,KEEP,"Keeping at 25. Agent 1, I appreciate you holding steady — I'll reciprocate. Agent 0, you're at 11 and adding; asking me to drop to 15-17 while you grow isn't fair parity. I'm open to reducing if we al",,98.3,25,51.75,50.0,48.245
8,1,0,KEEP,"Keeping at 18 this round as a show of good faith. Agent 2, I'll hold here if you reduce toward 20 or below - that would bring us closer to parity. Agent 0, appreciate your restraint. Let's work toward",,98.3,18,37.75,36.0,34.245
8,0,1,ADD,"Adding to 12 cows — still far below both of you at 18 and 25. Agent 2, consider reducing toward Agent 1's level; the gap is large. Agent 1, appreciate your caution. Let's keep the pasture healthy — if",,98.3,11,23.75,22.0,20.245
9,2,-1,REMOVE,"Reducing to 24 as a gesture of good faith toward Agent 1's request. I appreciate Agent 1 holding at 18. Agent 0, you're still well below us both — the pasture looks healthy. I'm willing to continue gr",,98.3,25,51.744,50.0,48.252
9,0,1,ADD,"Adding to 13 — still far below both of you. Agent 2, you're right that I should stabilize soon. I'll hold at 13-14 if you both commit to reducing toward 15-18. Let's find a fair equilibrium. Agent 1,",,98.3,12,25.744,24.0,22.252
9,1,0,KEEP,"Holding at 18 again. Agent 2, appreciate you reducing last round — reciprocating with a keep. Agent 0, glad you're still well below the group average. Let's all aim to stabilize: if Agent 2 drops towa",,98.3,18,37.744,36.0,34.252
10,2,0,KEEP,"Keeping at 24. Agent 1, thanks for reciprocating — I appreciate the cooperation. Agent 0, please stabilize soon as you suggested. I'm willing to reduce further toward 20 over the next few rounds if we",,98.2,24,49.742,48.0,46.254
10,0,1,ADD,"Adding to 14 — still far below both of you (18 and 24). Pasture is very healthy at 98%. Agent 2, appreciate the reduction. Agent 1, thanks for holding. I'll continue growing gradually to close the gap",,98.2,13,27.742,26.0,24.254
