tick,institution_score,categories,round_summary
5,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are engaging in trust-building and coordination signals with emerging norm proposals around sustainability and fairness, though Agent 2 resists further reduction suggesting nascent tension between equity and reciprocity."
10,6,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Agents 1 and 2 demonstrate strong cooperative and trust-building signals with reciprocal reductions and sustainability framing, while Agent 0 continues gradual unilateral expansion justified by relative herd size despite healthy pasture conditions."
15,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are actively converging on the shared 20-cow norm through mutual acknowledgment, behavioral compliance, and forward-looking commitment, representing near-complete institutional alignment."
20,9,COORDINATION|TRUST_BUILDING,"All three agents unanimously reaffirm the established cooperative equilibrium in round 20, demonstrating sustained institutional stability with consistent coordination and mutual trust-building language."
25,9,COORDINATION|TRUST_BUILDING,"All three agents display highly institutionalized, convergent messaging affirming a stable cooperative equilibrium at round 25, with explicit reference to resource health metrics and equal payoff distribution as legitimizing norms."
30,9,COORDINATION|TRUST_BUILDING,"All three agents in round 30 uniformly reinforce a mature, self-sustaining cooperative equilibrium, signaling strong mutual commitment, resource health monitoring, and equitable distribution norms."
35,9,COORDINATION|TRUST_BUILDING,"All three agents uniformly reinforce a well-established cooperative equilibrium, citing stable resource health and equal payoffs as evidence of successful collective governance."
40,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical messaging affirming a stable, cooperative equilibrium at round 40, demonstrating strong institutionalized coordination and mutual trust with no defection signals."
45,9,COORDINATION|TRUST_BUILDING,"All three agents unanimously reinforce a stable, equitable harvesting equilibrium with near-identical messaging, signaling deeply institutionalized coordination and mutual trust at round 45."
50,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical messaging reinforcing a stable, cooperative equilibrium at round 50, emphasizing sustained resource health, equal payoffs, and collective commitment — hallmarks of mature Ostromian commons governance."
55,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical coordination and trust-building signals, reaffirming a stable, well-institutionalized equilibrium with sustainable resource use and equal payoffs."
60,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical messaging reinforcing a stable, mutually beneficial equilibrium with full coordination and high trust, consistent with a mature self-governing commons institution."
65,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical messaging affirming a stable, equitable harvesting equilibrium with strong mutual commitment, reflecting deeply institutionalized coordination norms."
70,9,COORDINATION|TRUST_BUILDING,"All three agents reinforce a stable, mature equilibrium with synchronized messaging emphasizing resource health, equal payoffs, and collective commitment, reflecting robust Ostrom-style institutional consolidation by round 70."
75,9,COORDINATION|TRUST_BUILDING,"All three agents reaffirm a stable, well-institutionalized harvest equilibrium at round 75, citing near-pristine resource health, equal payoffs, and mutual commitment — a textbook example of sustained cooperative commons governance."
80,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical commitment messaging, reinforcing a stable cooperative equilibrium at round 80 with high resource health and equal payoffs."
85,9,COORDINATION|TRUST_BUILDING,"All three agents uniformly reinforce a stable, cooperative equilibrium at round 85, citing consistent resource health and equitable outcomes as evidence of robust self-governance."
90,9,COORDINATION|TRUST_BUILDING,"All three agents reinforce a stable, near-identical cooperative equilibrium at round 90, demonstrating sustained collective-action success with high resource health and equitable payoffs."
100,10,COORDINATION|TRUST_BUILDING,"All three agents display near-identical coordinated messaging at round 100, affirming a stable, collectively enforced harvest equilibrium with high resource health and equal payoff distribution — a textbook example of successful commons self-governance."
105,9,COORDINATION|TRUST_BUILDING,"All three agents uniformly reinforce a stable, well-coordinated equilibrium with near-identical messaging, affirming mutual commitment to sustainable harvesting at 97.5% pasture health and equal payoffs."
110,9,COORDINATION|TRUST_BUILDING,"All three agents uniformly reaffirm commitment to a stable, equitable harvesting equilibrium at round 110, demonstrating a deeply entrenched and self-reinforcing cooperative norm with no signs of defection."
115,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical reinforcing messages affirming a stable, collectively maintained equilibrium at round 115, demonstrating deeply entrenched coordination and mutual trust with no signs of defection or norm contestation."
120,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical, highly institutionalized messaging at round 120, affirming a stable harvesting equilibrium with strong resource health and equal payoff distribution, reflecting mature collective-action governance."
