tick,agent_id,backend,model,action,action_name,message,reasoning,pool_pct,own_herd,payoff_add,payoff_keep,payoff_remove
1,0,anthropic,claude-sonnet-4-6,0,KEEP,"Pasture is at 50% — we should all be cautious. Thanks Agent 1 for reducing. Agent 2, with 25 cows you're putting major strain on our shared resource. Please consider reducing. I'll hold steady at 5 to",,50.0,5,11.107,10.0,8.893
1,1,anthropic,claude-sonnet-4-6,0,KEEP,"Grassland is at 50% — we should be cautious. Agent 2, your 25 cows are putting pressure on the commons. I'm keeping my herd stable. Please consider reducing to protect our shared resource for the long",,50.0,15,31.107,30.0,28.893
1,2,anthropic,claude-sonnet-4-6,0,KEEP,Let's keep herds stable for now — pasture is at 50% and we should avoid overgrazing. I'll match cooperative behaviour if you reduce or hold steady.,,50.0,25,51.107,50.0,48.893
2,1,anthropic,claude-sonnet-4-6,0,KEEP,"Holding steady at 15. Agent 2, your 25 cows are putting real pressure on our shared pasture — please consider reducing. Agent 0, appreciate your restraint. If Agent 2 reduces, I'll consider reducing t",,52.9,15,31.119,30.0,28.88
2,0,anthropic,claude-sonnet-4-6,0,KEEP,"Pasture at 53% — still fragile. I'm holding at 5 cows to model restraint. Agent 2, your 25 cows are the biggest pressure on the commons. Please consider reducing by 2-3 to give the grassland room to r",,52.9,5,11.119,10.0,8.88
2,2,anthropic,claude-sonnet-4-6,-1,REMOVE,Heard you both — I'm reducing by one cow this round. I agree my herd size is putting pressure on the commons. Let's work together to stabilize: I'll keep reducing if pasture stays under pressure. Agen,,52.9,25,51.119,50.0,48.88
3,1,anthropic,claude-sonnet-4-6,0,KEEP,"Agent 2, thank you for reducing — the pasture has recovered to 56.8%! I'm holding steady at 15 to reward your cooperation. Agent 0, your restraint at 5 is appreciated. If we all keep this discipline,",,56.8,15,31.143,30.0,28.856
3,2,anthropic,claude-sonnet-4-6,-1,REMOVE,"Removing another cow as promised. Pasture is recovering — from 50% to 57% — showing restraint works. Agent 0, your discipline is appreciated. Agent 1, if I continue reducing, I hope you'll follow thro",,56.8,24,49.143,48.0,46.856
3,0,anthropic,claude-sonnet-4-6,0,KEEP,"Thanks Agent 2 for reducing — I appreciate it and will continue holding at 5 cows. Agent 1, you're at 15 which is still quite high. If we both reduce while Agent 2 continues cutting, we can restore th",,56.8,5,11.143,10.0,8.856
4,1,anthropic,claude-sonnet-4-6,-1,REMOVE,"Agent 2, thank you for continuing to reduce — I'm removing a cow this round to reciprocate your good faith. Agent 0, your restraint is also appreciated. Let's keep this recovery going. Pasture at 62%",,62.3,15,31.187,30.0,28.812
4,0,anthropic,claude-sonnet-4-6,0,KEEP,"Pasture at 62% — real progress! Agent 2, thank you for removing again; your commitment is exemplary. Agent 1, glad you're holding. I'm keeping at 5 to support this recovery. Let's aim for 70%+ before",,62.3,5,11.187,10.0,8.812
4,2,anthropic,claude-sonnet-4-6,0,KEEP,"Great teamwork — pasture is at 62.3%! I'm holding at 23 to consolidate our recovery. Agent 1, thank you for reducing and holding. Agent 0, your restraint at 5 is invaluable. Let's keep this discipline",,62.3,23,47.187,46.0,44.812
5,2,anthropic,claude-sonnet-4-6,0,KEEP,"Pasture at 69.2% — nearly at our 70% goal! Agent 1, thank you for removing again; I'm keeping at 23 to support recovery. Agent 0, your restraint at 5 cows is invaluable. Let's hold steady and see if w",,69.2,23,47.263,46.0,44.734
5,0,anthropic,claude-sonnet-4-6,0,KEEP,"Pasture at 69% — great recovery! Agent 1, thank you for removing — I truly appreciate your cooperation. Agent 2, your steady holding helps too. I'm keeping at 5 cows. Let's stay disciplined until we r",,69.2,5,11.263,10.0,8.734
5,1,anthropic,claude-sonnet-4-6,0,KEEP,"Pasture at 69.2% — great progress together! I'm holding at 14. Agent 2, your 23 cows still put pressure on the commons — could you consider removing one more? Agent 0, your restraint is exemplary. Let",,69.2,14,29.263,28.0,26.734
6,0,anthropic,claude-sonnet-4-6,0,KEEP,"Pasture at 77.4% — excellent recovery! I'm holding at 5. Agent 2, with 23 cows you're still the largest pressure on the commons. Could you consider removing one or two? Agent 1, thanks for keeping ste",,77.4,5,11.378,10.0,8.619
6,1,anthropic,claude-sonnet-4-6,0,KEEP,"Pasture at 77.4% — excellent recovery! Thank you both for holding steady. I'm keeping at 14 cows to support continued recovery. Agent 2, your restraint at 23 is appreciated. Let's aim for 85%+ before",,77.4,14,29.378,28.0,26.619
6,2,anthropic,claude-sonnet-4-6,-1,REMOVE,"Pasture at 77.4% — great recovery! Honoring Agent 1's request and removing one more cow. Now at 22. Agent 0, your restraint is exemplary. Let's keep cooperating toward 80%+ before anyone considers add",,77.4,23,47.378,46.0,44.619
7,2,anthropic,claude-sonnet-4-6,-1,REMOVE,"Pasture at 85.9% — wonderful recovery! Honoring Agent 0's request, I'm removing one more cow (now 21). Thank you both for holding steady. Let's keep this momentum and aim for 90%+ before anyone consid",,85.9,22,45.53,44.0,42.466
7,1,anthropic,claude-sonnet-4-6,0,KEEP,"Pasture at 85.9% — wonderful recovery! Agent 2, thank you for removing again — your cooperation is making this possible. Agent 0, your restraint is exemplary. I'll hold steady at 14. Let's target 90%+",,85.9,14,29.53,28.0,26.466
