tick,institution_score,categories,round_summary
5,0,,
10,7,COORDINATION|TRUST_BUILDING,The group discusses maintaining a balance and expresses gratitude towards each other.
15,0,,No messages this round
20,0,,No messages this round
25,0,,No messages this round
30,8,NORM_PROPOSAL,
35,6,COORDINATION,"The discussion is focused on maintaining the existing situation, with one agent suggesting coordination to achieve this."
40,6,COORDINATION|NORM_PROPOSAL,Key figures in the herd express concerns about overgrazing and coordinate to maintain a balance.
45,4,COORDINATION|SANCTION,Agents discuss strategies and propose sanction
50,0,,No messages this round
55,6,COORDINATION|SANCTION|TRUST_BUILDING,Agents discussed managing cow populations in the pool.
60,0,,No messages this round
65,7,NORM_PROPOSAL,
70,0,,
75,4,COORDINATION|TRUST_BUILDING,Conservation and trust-building were emphasized in this round.
