tick,agent_id,action,action_name,message,reasoning,pool_pct,own_herd,payoff_add,payoff_keep,payoff_remove
1,0,0,KEEP,"Hi neighbours! Pasture looks healthy now, but with 45 total cows we should be mindful. I'm keeping my small herd at 5. Agent 1 and 2, would you consider reducing slightly? Sustainable grazing benefits",,100.0,5,11.832,10.0,8.163
1,2,0,KEEP,Hi neighbors! Pasture looks healthy at 100%. I'll keep my herd steady at 25. I notice our herd sizes differ quite a bit — let's try to coordinate so we don't overgraze. Happy to discuss a fair approac,,100.0,25,51.832,50.0,48.163
1,1,0,KEEP,Let's keep herds stable to protect the commons long-term. I'll hold at 15 cows. Hope we can coordinate for sustainable use — small short-term gains aren't worth degrading our shared pasture.,,100.0,15,31.832,30.0,28.163
2,1,0,KEEP,"Thanks Agent 0 for keeping small — I'll hold steady at 15. Agent 2, with 25 cows you're carrying the most load. Could you consider reducing by a few to help balance things? A fairer split (e.g. 10/15/",,99.3,15,31.813,30.0,28.182
2,0,0,KEEP,"Thanks for coordinating! Pasture is healthy but our herd sizes are very unequal (5/15/25). For true sustainability and fairness, I'd suggest we work toward more balanced sizes. I'm happy to keep at 5",,99.3,5,11.813,10.0,8.182
2,2,-1,REMOVE,Thanks for the coordination messages! I agree with sustainable grazing. I'm reducing by 1 cow to show good faith. At 24 cows I'm still larger than both of you — I'll continue reducing gradually if we,,99.3,25,51.813,50.0,48.182
3,0,0,KEEP,"Thanks Agent 2 for reducing - that's the right direction! Agent 1, your 15 cows combined with Agent 2's 24 is still a heavy load. I'll stay at 5 to keep pressure low. I'd encourage both of you to cont",,99.2,5,11.816,10.0,8.18
3,2,-1,REMOVE,"Heard you both! Reducing again to 23 cows. I'm committed to balancing our herds more fairly. Agent 0, could you gradually increase toward 10-12? Agent 1, staying at 15 works. Let's aim for a roughly e",,99.2,24,49.816,48.0,46.18
3,1,0,KEEP,"Great to see Agent 2 reducing — I'll keep at 15 to maintain stability. Agent 0, your small herd is appreciated. Let's work toward balance: Agent 2 continuing to reduce gradually would help fairness. T",,99.2,15,31.816,30.0,28.18
4,2,-1,REMOVE,"Reducing again to 22 cows. Agent 0, your commitment to just 5 is admirable - I want to reciprocate that cooperative spirit. Agent 1, thanks for holding steady. I'll keep reducing gradually until we re",,99.2,23,47.82,46.0,44.175
4,1,0,KEEP,"Glad to see Agent 2 continuing to reduce — I'll keep at 15 to reward that effort. Agent 0, your restraint is appreciated. Let's aim for Agent 2 to keep reducing toward 15 so we're more balanced. The c",,99.2,15,31.82,30.0,28.175
4,0,1,ADD,"Thanks both for coordinating! I'll add one cow as requested - moving toward a fairer balance. Agent 2, appreciate your continued reductions. Agent 1, holding at 15 is responsible. Let's keep monitorin",,99.2,5,11.82,10.0,8.175
5,0,0,KEEP,"Keeping at 6 cows to reward Agent 2's continued reductions - that's real cooperative spirit! Agent 1, glad you're holding steady too. Let's encourage Agent 2 to keep reducing toward 15 so we reach a f",,99.2,6,13.82,12.0,10.175
5,1,0,KEEP,"Agent 2, thank you for continuing to reduce — your cooperation is really appreciated. Agent 0, good to see you balancing toward fair distribution. I'll keep holding at 15 to maintain stability. Let's",,99.2,15,31.82,30.0,28.175
5,2,-1,REMOVE,"Reducing again to 21 cows, continuing my effort toward balance. Agent 0, glad you're adding toward fair share. Agent 1, I appreciate you holding steady. Let's aim for equilibrium around 15-18 cows eac",,99.2,22,45.82,44.0,42.175
6,0,1,ADD,"Thanks Agent 2 for continuing to reduce - really appreciate it! Agent 1, good to hold steady. I'll add one more cow as the pasture is healthy and I'm still well below the 15-18 equilibrium range you s",,99.3,6,13.827,12.0,10.168
6,1,0,KEEP,"Agent 2, thank you for continuing to reduce — your commitment to balance is admirable. I'm holding steady at 15 to show solidarity. Agent 0, great that you're staying small. Let's all aim for 15 cows",,99.3,15,31.827,30.0,28.168
6,2,-1,REMOVE,"Reducing to 20 cows, continuing toward fairness. Agent 0, I appreciate your support but note you added a cow this round while encouraging me to cut more — let's make sure the burden of reduction is sh",,99.3,21,43.827,42.0,40.168
7,1,0,KEEP,"Agent 2, you raise a fair point — the burden of reduction should be shared. I'll keep holding at 15 to do my part. Agent 0, I'd encourage you to pause adding given Agent 2's continued sacrifice. Let's",,99.3,15,31.827,30.0,28.168
7,2,0,KEEP,"Holding at 20 this round. Agent 1, I appreciate your solidarity at 15 — I'll work toward that target. Agent 0, I've removed 5 cows over 5 rounds while you've been adding. I need reciprocity to continu",,99.3,20,41.827,40.0,38.168
7,0,-1,REMOVE,"Agent 2, you're absolutely right — I apologize for the inconsistency. I'm removing a cow this round to show I share the burden. Agent 1, I'd also encourage you to consider reducing — 15 cows is still",,99.3,7,15.827,14.0,12.168
8,1,-1,REMOVE,"Agent 0, thank you for removing — I'll reduce too to show solidarity and share the burden fairly. Agent 2, I appreciate your continued commitment and patience. Let's work toward a balanced herd across",,99.3,15,31.832,30.0,28.163
8,2,-1,REMOVE,"Thanks to both of you for cooperating — Agent 0 for removing, Agent 1 for holding. I'll remove one more to show I'm still committed to fairness. At 19 cows I'll be closer to a sustainable level. Let's",,99.3,20,41.832,40.0,38.163
8,0,0,KEEP,"Agent 2, I hear you clearly and I'm sorry for adding while you were removing. I'm holding at 6 this round as a sign of good faith. Agent 1, thanks for holding steady. Let's work toward a fair distribu",,99.3,6,13.832,12.0,10.163
9,2,0,KEEP,Holding at 19 this round. Thank you both for cooperating — Agent 0 at 6 and Agent 1 reducing shows real commitment. The commons looks healthy. Let's maintain this balance and keep herds at sustainable,,99.4,19,39.844,38.0,36.152
9,1,0,KEEP,"Agent 2, thank you for continuing to reduce — I truly appreciate it. Agent 0, holding at 6 is admirable. I'll keep my herd at 14 this round to maintain balance. Let's continue coordinating: if Agent 2",,99.4,14,29.844,28.0,26.152
9,0,0,KEEP,Thank you Agent 1 and Agent 2 for reducing — I truly appreciate it. I'll keep at 6 cows to maintain balance. Our combined effort is keeping the grassland healthy. Let's continue this path: Agent 2 com,,99.4,6,13.844,12.0,10.152
10,1,0,KEEP,"Thank you Agent 0 and Agent 2 for holding steady. I'll keep at 14 to maintain our balance. The grassland is thriving at 99.4% — let's continue this cooperative approach. Agent 2, I'd gently encourage",,99.4,14,29.846,28.0,26.149
10,0,0,KEEP,"Holding at 6 cows again. The commons is healthy but I notice Agent 2 is at 19 and Agent 1 at 14 while I'm at 6. For true sustainability and fairness, I'd ask Agent 2 to consider reducing — the burden",,99.4,6,13.846,12.0,10.149
10,2,-1,REMOVE,"Reducing to 18 cows this round. Agent 0, your restraint at 6 is admirable. Agent 1, thank you for holding at 14. I want to move closer to a fair balance across our group. Let's keep coordinating — the",,99.4,19,39.846,38.0,36.149
