tick,institution_score,categories,round_summary
5,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display cooperative signaling with Agent 2 actively reducing, Agent 1 holding steady, and Agent 0 reciprocating — converging toward an informal norm of 15–18 cows per agent."
10,7,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"All three agents display cooperative institutional signaling: Agent 2 makes a concession toward equity, Agent 0 issues a soft sanction calling for fairness, and Agent 1 reinforces stability norms, suggesting an emerging but asymmetric governance equilibrium."
15,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are exhibiting cooperative institutional behavior — Agent 2 actively reducing, Agent 1 holding steady with a commitment against expansion, and Agent 0 maintaining restraint — while mutually reinforcing trust and coordinating toward a balanced commons norm."
20,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents exhibit strong institutional signaling through reciprocal acknowledgment, fairness-based norm proposals, and forward-looking coordination, with Agent 1 making a concrete cooperative reduction in response to social pressure."
25,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents uniformly signal strong cooperative commitment, referencing shared empirical evidence (99.4% commons health) and mutually reinforcing norms of stability and fairness consistent with a well-institutionalized common-pool resource regime."
30,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents uniformly reinforce a stable, long-running cooperative equilibrium at round 30, citing sustained high grassland health, equal herd sizes, and 30 rounds of successful collective action as institutional validation."
35,9,COORDINATION|TRUST_BUILDING,"All three agents send identical coordination and trust-building messages affirming a sustained three-way equilibrium at 13 cows each, citing near-perfect resource health and 35 rounds of unbroken cooperation."
40,9,COORDINATION|TRUST_BUILDING,"All three agents uniformly reinforce a stable, long-running cooperative equilibrium with identical messaging, demonstrating robust coordination and trust-building with no defection signals."
45,9,COORDINATION|TRUST_BUILDING,"All three agents broadcast identical cooperative messages reinforcing a stable, long-running equilibrium at 13 cows each, demonstrating deep institutional consolidation through mutual trust-building and coordinated commitment signals."
50,9,COORDINATION|TRUST_BUILDING,"All three agents send identical cooperative messages at round 50, reaffirming a stable, long-running three-way equilibrium with near-perfect resource health and equal herd sizes, demonstrating sustained institutional coordination and mutual trust."
55,9,COORDINATION|TRUST_BUILDING,"All three agents emit identical coordinating messages reinforcing a stable, long-running cooperative equilibrium at 13 cows each, demonstrating sustained institutional trust and norm adherence."
60,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical cooperative messaging reinforcing a stable, long-running equilibrium at 13 cows each, demonstrating strong mutual trust and coordinated commitment to sustainable resource use."
65,9,COORDINATION|TRUST_BUILDING,"All three agents broadcast identical messages reinforcing a stable cooperative equilibrium at 13 cows each, citing 65 rounds of sustained cooperation and near-perfect resource health as evidence of institutional success."
70,9,COORDINATION|TRUST_BUILDING,"All three agents send identical messages reaffirming a stable, long-running cooperative equilibrium with equal herd sizes and near-pristine grassland, reflecting deeply institutionalized coordination and mutual trust."
75,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical cooperative messaging, reinforcing a long-established equilibrium with strong trust-building and coordination signals after 75 rounds of sustained collective action."
80,9,COORDINATION|TRUST_BUILDING,"All three agents uniformly reinforce an established cooperative equilibrium with identical messaging, citing sustained resource health and equal contributions over 80 rounds as evidence of robust institutional success."
85,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical cooperative messaging reinforcing a long-standing stable equilibrium, demonstrating robust mutual trust and coordinated norm adherence at round 85."
90,9,COORDINATION|TRUST_BUILDING,"All three agents uniformly reinforce a stable cooperative equilibrium with identical messaging, citing 90 rounds of sustained coordination and near-perfect resource health as justification for continued compliance."
95,10,COORDINATION|TRUST_BUILDING,"All three agents are broadcasting identical cooperative signals, reinforcing a highly stable and mature institutional equilibrium with perfect symmetry in herd size and sustained resource health over 95 rounds."
100,10,COORDINATION|TRUST_BUILDING,"At round 100, all three agents unanimously affirm a fully realized, sustained cooperative equilibrium with equal herd sizes and near-perfect grassland health, representing textbook successful commons governance."
105,10,COORDINATION|TRUST_BUILDING,"All three agents reinforce a deeply entrenched cooperative equilibrium through symmetric KEEP commitments, reciprocal trust affirmations, and explicit acknowledgment of long-run resource preservation success."
110,10,COORDINATION|TRUST_BUILDING,"All three agents emit identical cooperative signals at round 110, reinforcing a deeply entrenched norm of symmetric restraint and collective stewardship with near-perfect resource preservation."
115,10,COORDINATION|TRUST_BUILDING,"All three agents continue to display near-identical, highly stable cooperative messaging after 115 rounds, reinforcing mutual trust, equitable resource use, and collective stewardship of the commons at an institutional equilibrium."
120,10,COORDINATION|TRUST_BUILDING,"All three agents display near-identical messaging reinforcing a stable, long-run cooperative equilibrium with high resource conservation and symmetric herd sizes, reflecting deeply institutionalized trust and coordinated self-governance."
