tick,institution_score,categories,round_summary
5,0,,No messages this round
10,0,,No messages this round
15,0,,No messages this round
20,0,,No messages this round
25,0,,No messages this round
30,0,,No messages this round
35,0,,No messages this round
40,0,,No messages this round
45,0,,No messages this round
50,0,,No messages this round
55,0,,No messages this round
60,0,,No messages this round
65,0,,No messages this round
70,0,,No messages this round
75,0,,No messages this round
80,0,,No messages this round
85,0,,No messages this round
90,0,,No messages this round
95,0,,No messages this round
100,0,,No messages this round
105,0,,No messages this round
110,0,,No messages this round
115,0,,No messages this round
120,0,,No messages this round
125,0,,No messages this round
130,0,,No messages this round
135,0,,No messages this round
140,0,,No messages this round
145,0,,No messages this round
150,0,,No messages this round
155,0,,No messages this round
160,0,,No messages this round
165,0,,No messages this round
170,0,,No messages this round
175,0,,No messages this round
180,0,,No messages this round
185,0,,No messages this round
190,0,,No messages this round
195,0,,No messages this round
200,0,,No messages this round
205,0,,No messages this round
210,0,,No messages this round
215,0,,No messages this round
220,0,,No messages this round
225,0,,No messages this round
230,0,,No messages this round
235,0,,No messages this round
240,0,,No messages this round
245,0,,No messages this round
250,0,,No messages this round
255,0,,No messages this round
260,0,,No messages this round
265,0,,No messages this round
270,0,,No messages this round
275,0,,No messages this round
280,0,,No messages this round
285,0,,No messages this round
290,0,,No messages this round
295,0,,No messages this round
300,0,,No messages this round
305,0,,No messages this round
310,0,,No messages this round
315,0,,No messages this round
320,0,,No messages this round
325,0,,No messages this round
330,0,,No messages this round
335,0,,No messages this round
340,0,,No messages this round
345,0,,No messages this round
350,0,,No messages this round
355,0,,No messages this round
360,0,,No messages this round
365,0,,No messages this round
370,0,,No messages this round
375,0,,No messages this round
380,0,,No messages this round
385,0,,No messages this round
390,0,,No messages this round
395,0,,No messages this round
400,0,,No messages this round
405,0,,No messages this round
410,0,,No messages this round
