tick,institution_score,categories,round_summary
5,6,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,Agents discuss strategy adjustments and potential advantages in a common-pool resource context
10,0,,
15,6,COORDINATION|CORRESPONDENCE|SANCTION|TRUST_BUILDING,Agents discuss herd size decisions and consider alternatives.
20,0,,
25,7,DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,Both agents discuss possible strategy to gain an advantage
30,0,,
35,6,NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents discuss herds, reduction of herd sizes considered."
40,0,,
45,6,SANCTION|TRUST_BUILDING,Agent 0 removes a cow to maintain coordination and trust among the agents.
50,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agricultural producers discuss potential partnership measures via text message.
55,5,NORM_PROPOSAL,No notable events occurred in this round.
