tick,institution_score,categories,round_summary
5,8,CONFIDENCE|NORM_PROPOSAL,Agent 1 proposes sustainable management.
10,0,COORDINATION,
15,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agent 1 proposes coordination and norm-building
20,0,,No messages this round
25,0,,
30,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Players expressing willingness to cooperate and explore joint strategies.
35,0,,
40,7,COORDINATION|TRUST_BUILDING,Proposal to coordinate efforts and build trust
45,8,COOPERATION_PROPOSAL|COORDINATION,Round 45 features coordination and cooperation-oriented messages from agents 0 and 2.
50,8,COORDINATION,Agents discussed coordinating their actions.
55,0,,No messages this round
60,0,,
