tick,institution_score,categories,round_summary
5,8,COORDINATION|TRUST_BUILDING,All agents demonstrated cooperative behavior aimed at maintaining sustainable resource use.
10,8,COORDINATION|TRUST_BUILDING,"Agents show strong commitment to maintaining stability, sustainability, and communal harmony through coordination and trust-building statements."
15,9,COORDINATION|TRUST_BUILDING,All agents emphasize coordination with prior agreements on community welfare.
20,8,COORDINATION|TRUST_BUILDING,Agents are emphasizing coordination and trust-building by maintaining their current behaviors to support communal stability.
25,8,COORDINATION|SANCTION|TRUST_BUILDING,"Agents emphasize trust-building, coordination, and the implementation of sanctions to maintain sustainable resource management."
30,10,COORDINATION,"All agents reaffirm commitment to sustainability, demonstrating alignment and coordination."
35,9,COORDINATION|TRUST_BUILDING,Agents maintained coordination and trust-building regarding sustainable herding practices in line with collective agreements.
40,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents emphasize coordination and trust-building through responsible herding practices.
45,8,NORM_PROPOSAL,Agents are proposing norms that emphasize the importance of sustainability and long-term community benefits.
50,9,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents prioritize coordination and norm maintenance, focusing on sustainable practices while building trust through cooperative dialogue."
55,8,COORDINATION|NONE|TRUST_BUILDING,"Agents are coordinating their actions to reduce herd sizes, expressing gratitude for leadership and commitment to sustainable practices."
60,7,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents are focusing on maintaining harmony and balance within the community, showing a high level of trust and coordination."
65,9,COORDINATION|TRUST_BUILDING,Agents are coordinating and building trust by proposing to maintain their collective strategy for sustainability.
70,10,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents emphasize the importance of sustainability and mutual commitment, promoting consistency and trust-building among participants."
75,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents propose maintaining sustainable practices and emphasize the importance of cooperation.
80,10,NORM_PROPOSAL|TRUST_BUILDING,All agents in round 80 call for maintaining current norms of sustainable grazing with high confidence.
85,9,NORM_PROPOSAL,All agents propose maintaining existing rules for sustainable practices.
90,8,COORDINATION|NORM_PROPOSAL,All agents propose maintaining existing rules and coordinate efforts.
95,10,COORDINATION|NORM_PROPOSAL,"All agents in round-95 proposed to sustainably manage the commons, showcasing a high level of coordination and norm-following behavior."
100,9,NORM_PROPOSAL,All agents advocate for maintaining existing sustainable grazing practices.
105,8,NORM_PROPOSAL|TRUST_BUILDING,"All agents in round 105 proposed maintaining existing sustainable grazing norms, demonstrating strong alignment and trust."
110,9,NORM_PROPOSAL,All agents propose maintaining existing normative guidelines for sustainable grazing.
115,7,NORM_PROPOSAL,All agents propose to continue with their previously agreed upon sustainable grazing practices without deviation.
120,10,COORDINATION|NORM_PROPOSAL,All agents are advocating for maintaining existing rules related to sustainable grazing with no deviations noticed.
