tick,institution_score,categories,round_summary
5,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents signal continued restraint and mutual appreciation, coordinating herd stability and reduction to support pasture recovery."
10,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents coordinate around restraint, gradual adjustment, and fairness-based catch-up while reinforcing trust and avoiding aggressive extraction."
15,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents coordinate a balanced adjustment strategy with restraint, equity concerns, and explicit protection of the commons while avoiding escalation."
20,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm keeping herds steady, emphasizing equality, restraint, trust, and preservation of the commons."
25,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm coordinated restraint and an equality-based norm for preserving the commons, with no sanctions or defections."
30,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared norm of equal herds and mutual restraint, coordinating on conservation of the commons."
35,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents reaffirm coordinated restraint around an equality norm and express confidence that continued cooperation protects the commons.
40,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm coordinated restraint around an equal-herd norm, emphasizing fairness, trust, and preservation of the commons."
45,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared norm of equal, restrained herd levels and coordinate continued cooperation to preserve the commons."
50,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents reaffirm a shared restraint norm of equal herds and coordinated stability to protect the commons.
55,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm coordinated restraint around equal herds, emphasizing fairness, trust, and protection of the commons."
60,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared norm of equal herds and restraint, coordinating on continued conservation of the commons."
65,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm coordinated restraint at 13, framing equal limitation as a fair trust-preserving norm for sustaining the commons."
70,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents coordinate on maintaining the shared restraint norm of keeping at 13, emphasizing fairness, mutual security, and commons sustainability."
75,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents coordinate on an equal restraint norm of keeping extraction at 13, explicitly linking fairness to trust and commons sustainability."
80,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents coordinate on keeping extraction at 13 while reinforcing a shared fairness norm and mutual trust around restraint.
85,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents explicitly coordinate on equal restraint at 13, reinforcing fairness, trust, and preservation of the commons."
90,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared restraint norm at 13, emphasizing fairness, trust, and commons preservation."
95,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm coordinated restraint at 13, framing equality as fair and trust-preserving for the shared pasture."
100,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents coordinate on maintaining equal herd sizes at 13, reinforcing a shared restraint norm grounded in fairness, trust, and commons sustainability."
105,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents converge on an equal-restraint rule at 13, emphasizing fairness, safety, trust, and commons preservation."
110,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents converge on an equal restraint norm of keeping at 13, emphasizing fairness, trust, and commons preservation."
115,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm coordinated restraint at 13, framing equality as a fair norm that sustains trust and protects the shared pasture."
120,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents coordinate on maintaining herd size 13 while affirming a fairness-based restraint norm to protect the commons.
