tick,institution_score,categories,round_summary
5,8,TRUST_BUILDING,Agent 0 encourages cooperation and trust to support reciprocity.
10,0,,
15,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents show a commitment to balance and coordination.
20,5,NORM_PROPOSAL,Agent 0 proposed norms around herd management sustainably
25,0,,No messages this round
30,0,,
35,7,COORDINATION|NORM_PROPOSAL,"Agent 0 proposes continuing sustainable cooperation, suggesting a proposal of shared norms for collaborative governance."
40,0,,
45,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents expressed commitment to sustainable practices and cooperation.
50,8,COORDINATION|NORM_PROPOSAL,"Agents continue cooperating and proposing norms for conservation, leading to a consensus on sustainable resource management."
55,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents in this round expressed support for maintaining current practices and emphasized the benefits of collective action.
60,8,COORDINATION|TRUST_BUILDING,Agents are coordinating to maintain resource stability and building trust within the group.
65,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents expressed commitment to maintaining herd limits for sustainability and coordination among themselves.
70,7,COORDINATION|NONE|NORM_PROPOSAL|TRUST_BUILDING,"Agents propose to keep resources consistent, promoting shared goals based on coordination and norm proposal."
75,0,,
80,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents agree to maintain current herd size and encourage mutual cooperation.
85,0,,No messages this round
90,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents proposed norms for resource sustainability and coordination on herd size.
95,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents propose and coordinate on a norm of steady herd sizes.
100,6,COORDINATION|NORM_PROPOSAL,"Agent 0 proposes maintaining the current strategy, indicating coordination and norm proposal."
105,0,,
110,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents agree to maintain sustainability through collective effort.
115,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Both agents proposed norms aimed at conserving resources and maintaining stability, fostering trust within the group."
120,6,COORDINATION,Agent 0 proposes coordination by suggesting to maintain the status quo on herd size.
