tick,institution_score,categories,round_summary
5,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents in round-5 emphasize maintaining herd stability and sustainability through cooperation, showcasing a clear tendency towards commons governance norms and trust-building."
10,8,COOPERATION|COORDINATION|TRUST_BUILDING,Agents are emphasizing mutual sustainability and coordination through maintaining or slightly adjusting their resource levels.
15,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are coordinating and reinforcing norms for sustainable herd management.
20,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are proposing and supporting norms for sustainable practices to maintain long-term health of the commons.
25,8,COORDINATION|TRUST_BUILDING,Agents continue to express commitment to sustainability through coordination and trust-building.
30,9,COORDINATION|TRUST_BUILDING,"All three agents are maintaining cooperation and stability, indicating strong social norms and coordination behaviors."
35,9,COORDINATION|TRUST_BUILDING,All agents show positive signals towards building trust and coordinating efforts to maintain sustainability.
40,7,COOPERATION|COORDINATION|NONE|TRUST_BUILDING,Agents are demonstrating alignment with sustainable and cooperative management approaches to maintain the resource balance.
45,8,COORDINATION|TRUST_BUILDING,All agents are demonstrating coordinated behavior and trust in the continued sustainability of the commons.
50,7,COORDINATION|NONE|SANCTION,"Agent 0 prefers to maintain the status quo, while Agents 1 and 2 are aligning their actions with sustainability principles through self-imposed constraints and coordination."
55,8,COORDINATION|TRUST_BUILDING,"All agents are coordinating their actions towards a common goal of sustainable use and equitable distribution, which fosters trust among them."
60,8,COORDINATION|TRUST_BUILDING,"Agents are focusing on cooperative efforts towards sustainability, emphasizing coordination and trust-building."
65,9,COORDINATION,All agents in round-65 are collaborating on sustainable practices with their neighbors.
70,8,COORDINATION,Agents are showing continued collaborative efforts in maintaining the sustainability of their resource.
75,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are predominantly focusing on cooperative practices and proposing environmental norms.
80,8,COORDINATION|SANCTION,"Agents express support for maintaining common-pool resource health through collective action, albeit with one proposing sanctions."
85,8,COORDINATION,All agents are aligned in their approach to maintaining and stabilizing herd numbers.
90,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents unanimously express commitment to maintaining herd equilibrium and pasture stability, endorsing collective norms conducive to common sustainability."
95,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are engaging in norm setting and coordination to manage the commons sustainably.
100,8,COORDINATION|TRUST_BUILDING,Agents focused on maintaining herd stability and promoting cooperative behavior for long-term benefits.
105,8,NORM_PROPOSAL,"All agents in round-105 propose maintaining current herd sizes, emphasizing sustainability and long-term communal health."
110,8,COORDINATION|TRUST_BUILDING,"Agents emphasized the importance of maintaining sustainability, balance, and herd size responsibly to ensure communal prosperity."
115,8,COORDINATION|TRUST_BUILDING,"Agents unanimously emphasized the importance of sustainability, balance, and communal prosperity through coordination and trust-building."
120,7,COORDINATION|TRUST_BUILDING,"Agents emphasize the importance of sustainability, coordination, and trust-building in their messages."
