tick,institution_score,categories,round_summary
5,0,,
10,7,COORDINATION|NORM_PROPOSAL,Agents proposed sustainable actions and called for coordination to preserve the commons.
15,7,COORDINATION|DEFECT|NORM_PROPOSAL,Most agents support maintaining sustainable herd sizes while one agent adds but cautions others.
20,7,COORDINATION|TRUST_BUILDING,Agents are coordinating actions and building trust in the commons.
25,0,,
30,8,NORM_PROPOSAL|TRUST_BUILDING,Agents propose norms and demonstrate trust-building actions.
35,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are actively engaged in trust-building, proposing norms for sustainability, and coordinating actions to maintain the commons."
40,8,COORDINATION|TRUST_BUILDING,Agents demonstrate trust-building and coordination by adding cows in a balanced manner.
45,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents demonstrate trust-building, coordination, and norm-proposing behaviors to sustainably manage the common-pool resource."
50,8,COORDINATION|NORM_PROPOSAL,"Agents 2 and 1 both express commitment to sustainable grazing practices, with Agent 2 proposing a norm for action and Agent 1 emphasizing coordination and monitoring."
55,0,,
60,0,,
65,0,,
