tick,institution_score,categories,round_summary
5,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are coordinating on sustainable practices and building trust through normative behavior.
10,7,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,Agents are actively proposing and supporting sustainable practices while maintaining herd stability.
15,7,COORDINATION|TRUST_BUILDING,"Participants expressed intentions towards maintaining herd sizes for sustainability, emphasized collaboration and trust for long-term stability."
20,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are discussing the importance of communal welfare, proposing norms for herd management to achieve long-term sustainability."
25,9,COORDINATION|NORM_PROPOSAL|SANCTION,Agents emphasize coordination and norm proposals to maintain sustainability of the herd management.
30,8,NORM_PROPOSAL|SANCTION|TRUST_BUILDING,Agents are proposing and acting on communal norms for herd sustainability.
35,9,COORDINATION,All agents are expressing coordination to follow agreed-upon norms.
40,7,COERCION|COORDINATION|NORM_PROPOSAL,"Agents maintain norm proposals and coordination, with one agent suggesting potential self-interest despite communal goals."
45,8,COORDINATION|SANCTION|TRUST_BUILDING,"Agent 0 proposes a sanction to ensure long-term sustainability, while Agents 2 and 1 focus on maintaining existing agreements and trust."
50,8,COORDINATION|TRUST_BUILDING,All agents in round-50 are coordinating and building trust by proposing to keep herds stable for long-term sustainability.
55,8,COORDINATION,All agents agreed to maintain a cooperative stance towards sustaining balanced herds.
60,8,COORDINATION|TRUST_BUILDING,"Agents are reinforcing their commitment to maintaining a balanced approach, underscoring trust and coordination."
65,8,COORDINATION|TRUST_BUILDING,"Agents are reinforcing their commitment to maintaining a coordinated, sustainable management of the commons."
70,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents engaged in coordination and norm proposal with high confidence, emphasizing herd balance and sustainable practices."
75,9,COORDINATION|TRUST_BUILDING,Agents agree on maintaining and managing herd sizes cautiously for sustainability.
80,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents 0, 1, and 2 all emphasize maintaining herd sizes within agreed-upon sustainable limits, showing alignment in coordinating their actions for environmental responsibility."
85,9,COORDINATION,All agents in round-85 coordinated their actions to adhere to the agreed-upon strategy for maintaining pasture health.
90,8,COORDINATION|TRUST_BUILDING,"All agents reaffirmed their commitment to herd stabilization based on prior agreements, fostering coordination and trust."
95,7,COORDINATION|TRUST_BUILDING,"Agents maintain herd sizes consistent with previous agreements, indicating trust and coordination."
100,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are expressing commitment to sustainability, reciprocity, and coordination within the community pact."
105,0,,
