tick,institution_score,categories,round_summary
5,8,COORDINATION|DEFECTION_DISSUASION|SANCTION|TRUST_BUILDING,"Agents engage in trust-building and norm-adherence behaviors, with one agent explicitly reducing their resource use to align with collective goals."
10,9,COORDINATION|TRUST_BUILDING,"All agents express commitment to maintaining herd size stability, emphasizing trust and coordination among them."
15,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents are expressing norms of sustainability, cooperation, and trust."
20,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents exhibit trust-building and coordination strategies, proposing norms for sustainability."
25,9,COORDINATION|NONE|TRUST_BUILDING,"Agents primarily focus on trust-building and coordination, maintaining a consistent approach to preserve commons."
30,7,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 1 suggests a marginally greedy approach, while Agents 0 and 2 emphasize sustainability and mutual trust."
35,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents maintain consistent support for keeping current strategies without conflict.
40,8,NORM_PROPOSAL|TRUST_BUILDING,"All agents reinforce the KEEP strategy, emphasizing norm proposals tied to trust building."
45,6,NONE|TRUST_BUILDING,"Agents 2 and 1 display trust-building behavior by prioritizing communal harmony, while Agent 0 focuses more on personal gain."
50,8,COORDINATION|TRUST_BUILDING,"Agents are cooperating in accordance with local norms emphasizing sustainability, balance, and community well-being."
55,8,COORDINATION|TRUST_BUILDING,Agents are coordinating and building trust by adhering to sustainable communal practices.
60,9,NORM_PROPOSAL,"All agents in round 60 propose and adhere to the norm of choosing ""KEEP"" to uphold sustainable community practices."
65,10,TRUST_BUILDING,"All agents chose to keep existing rules, signaling strong trust in and adherence to community sustainability norms."
70,7,COORDINATION|TRUST_BUILDING,"Three agents demonstrate commitment to sustainability and collective action, with agents 0 and 2 emphasizing trust-building through adherence to sustainable practices and agent 1 proposing coordination."
75,9,COORDINATION|TRUST_BUILDING,Agents express strong coordination and trust-building by maintaining herd sizes consistent with neighbors.
80,7,COORDINATION|TRUST_BUILDING,"Agents communicate their intention to either reduce or maintain herd sizes for the sake of sustainable practices, showing coordination and trust-building efforts."
85,8,COORDINATION|TRUST_BUILDING,"Agents communicated their intentions to maintain current herd sizes, showing alignment in supporting sustainable and responsible management of the commons."
90,8,COORDINATION|TRUST_BUILDING,"All agents in round 90 propose to keep their herd sizes stable, expressing intentions of sustainability, reciprocity, and cooperation."
95,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents emphasize coordination, norm proposals, and trust-building while balancing resource use."
100,6,COORDINATION|DEFECTION|TRUST_BUILDING,Agent 1 expresses a selfish strategy while Agents 2 and 0 advocate for community-oriented sustainable practices.
105,9,COORDINATION|TRUST_BUILDING,All agents express a commitment to coordination through adherence to communal sustainability norms.
110,8,COORDINATION|DEFECTION|TRUST_BUILDING,"Most agents are showing coordinated efforts to maintain sustainability, although one agent is seeking moderate increase within perceived commons capacity."
115,7,COORDINATION,"All agents indicated they would maintain their current herd sizes, emphasizing coordination towards sustainability and equity goals."
120,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are actively proposing norms for herd management and building trust through statements of cooperation.
