tick,institution_score,categories,round_summary
5,8,COORDINATION|TRUST_BUILDING,All agents in round-5 reaffirmed their commitment to sustainable practices beneficial for the community.
10,9,COORDINATION|TRUST_BUILDING,Agents are showing strong alignment and commitment to the collective strategy for maintaining grassland health and stability.
15,7,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents demonstrate a mix of norm proposals, coordination efforts and trust-building actions towards maintaining shared resource health."
20,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Round-20 discussions highlight proposals for norm changes alongside affirmations of existing sustainable management strategies, with attempts at trust-building among agents."
25,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING, Agents are emphasizing the importance of maintaining sustainable herd management for long-term grassland health through coordination and norm proposals.
30,8,NORM_PROPOSAL|TRUST_BUILDING,All agents propose adherence to communal norms for sustainability and build trust by supporting herd stability.
35,9,COORDINATION|NORM_PROPOSAL,Agents are reinforcing norms of sustainability and stability in herd management through clear coordination.
40,8,NORM_PROPOSAL|TRUST_BUILDING,All agents in round 40 are reiterating their dedication to sustainable herd management as a communal effort.
45,8,COORDINATION|TRUST_BUILDING,All agents emphasize the importance of maintaining sustainable herd management in support of communal grassland health through coordination and trust-building signals.
50,8,COORDINATION|NORM_PROPOSAL,"All agents in round 50 are proposing the maintenance of a stable herd and healthy grassland through adherence to established norms, emphasizing coordinated action."
55,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,Agents demonstrate cooperative behaviors and mutual support for responsible resource management.
60,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents emphasize the importance of coordination and maintaining stable herds to support communal sustainability.
65,8,COORDINATION|TRUST_BUILDING,All agents emphasize the importance of maintaining and upholding sustainable practices through coordination and trust-building.
70,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents propose maintaining and enhancing sustainable practices to ensure the overall health of common resources, focusing on trust-building and coordination."
75,9,COORDINATION|NORM_PROPOSAL,"Agents are predominantly focused on maintaining sustainability and coordinating efforts, showing a strong inclination towards normative behavior."
80,9,COOPERATION|COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are expressing cooperative behaviors, proposing norms for sustainability, and attempting to coordinate actions for communal health."
85,8,COORDINATION|SANCTION|TRUST_BUILDING,Agents emphasize coordination and trust-building aimed at maintaining sustainability through mutual effort.
90,8,COORDINATION,All agents commit to sustainable practices and coordination in managing the commons.
95,9,NORM_PROPOSAL,All agents propose norms for sustainability and balanced herd size.
100,9,NORM_PROPOSAL,All agents are emphasizing sustainable practices and responsible management of the commons.
105,3,NONE,"All agents expressed a commitment to sustainability without proposing specific norms, sanctions, or coordination."
110,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are focusing on sustainability and cooperation to maintain stable herds, showing trust in each other's adherence to the norm of balancing resource use."
115,8,NORM_PROPOSAL,"All agents propose to prioritize sustainability over immediate economic gain, aiming for a balance between herd size and communal grassland health."
120,7,NONE|NORM_PROPOSAL,"Agents are focusing on advocating for sustainability and maintaining the current herd size, with no clear coordination or defection."
