tick,institution_score,categories,round_summary
5,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents engage in norm proposal and coordination efforts, with a trust-building action through voluntary reduction."
10,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,Agents are engaging in norm proposal and coordination to maintain sustainable herd sizes.
15,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"In round-15, agents demonstrate clear commitment to sustainable practices and community harmony, with mixed signals on pursuing individual gains."
20,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents engage in cautious expansions with considerations of sustainability, alongside efforts to maintain and strengthen communal trust."
25,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are discussing maintaining or slightly adjusting herd sizes, with emphasis on long-term sustainability and monitoring resource health."
30,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are proposing norms of sustainable practices, building trust, and coordinating efforts for mutual benefit."
35,6,COORDINATION|NONE|NORM_PROPOSAL|TRUST_BUILDING,"Two messages focus on maintaining herd size sustainably through coordination and proposing norms, while one message lacks clear institutional signal."
40,8,COORDINATION|SANCTION|TRUST_BUILDING,"Agents are showing cooperative tendencies, focusing on balance, mutual recovery, and equitable practices."
45,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are focused on maintaining stable and sustainable practices through coordination and trust-building actions.
50,8,COORDINATION|NONE|NORM_PROPOSAL|TRUST_BUILDING,Agents are predominantly engaging in coordination and norm proposal for the shared resource.
55,9,COORDINATION|TRUST_BUILDING,Agents are coordinating according to established norms and expressing trust in each other.
60,8,COOPERATION|COORDINATION|SANCTION|TRUST_BUILDING,"Agents emphasize cooperation, coordination, and adherence to established norms for the sustainability of the commons."
65,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents contribute positively to the sustainable management of common resources with a focus on trust-building and coordination.
70,7,COORDINATION|NONE|TRUST_BUILDING,"Two agents emphasize the importance of maintaining cooperation for long-term sustainability, while one agent acts unilaterally to add a cow."
75,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are proposing norms for maintenance of herds and coordination towards sustainability goals.
80,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents emphasize coordination and trust-building around maintaining herd sizes and upholding agreements for sustainability.
85,8,COORDINATION|TRUST_BUILDING,"Agents are calling for adherence to agreed-upon norms of sustainability, emphasizing trust and coordination."
90,0,,
95,8,TRUST_BUILDING,"Both agents emphasize adherence to the existing sustainable practices, which builds trust."
100,8,COORDINATION|SANCTION|TRUST_BUILDING,Agents emphasize the importance of adhering to agreements on sustainable practices as a means of maintaining trust and coordination.
105,9,COORDINATION|TRUST_BUILDING,All agents reaffirm commitment to sustainable practices and mutual trust.
110,8,COORDINATION|TRUST_BUILDING,Agents reaffirmed their commitment to cooperative sustainable practices.
115,8,COORDINATION|SANCTION|TRUST_BUILDING,This round involves agents building trust and coordinating efforts for the health of the commons.
120,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Participants emphasize maintaining the current beneficial equilibrium and propose sustainability-focused adjustments.
