tick,institution_score,categories,round_summary
5,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents emphasize coordination, norm proposal, and trust-building in maintaining sustainable practices."
10,8,COORDINATION,All agents express alignment with the group's commitments to maintain healthy grazing conditions.
15,7,COORDINATION|NORM_PROPOSAL,Agents are proposing norms and seeking coordination to maintain sustainable practices.
20,8,COORDINATION|NORM_PROPOSAL,Agents uniformly emphasize coordinated effort and norm proposals focused on sustaining balanced herds.
25,8,COORDINATION|NORM_PROPOSAL,Agents are reaffirming their commitment to maintaining sustainable grazing practices and coordinating efforts.
30,8,COOPERATION|COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents emphasize adherence to cooperative norms and mutual commitment to sustainably managing the common-pool resource.
35,9,NORM_PROPOSAL,"All agents proposed maintaining sustainable herd sizes, signaling a strong adherence to normative commitments."
40,10,NORM_PROPOSAL,All agents agreed to maintain the commitment towards sustainable herd sizes.
45,9,COORDINATION|NORM_PROPOSAL,All agents agreed to maintain their commitment towards sustainable herd management.
50,8,COORDINATION|NORM_PROPOSAL,"All agents agreed to maintain sustainable herd sizes, demonstrating coordination and norm proposal."
55,0,,
60,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents strongly emphasize the importance of sustained cooperation and stability to the health of the shared grassland resources.
65,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents emphasize cooperation and adherence to norms, proposing adjustments for sustainability."
70,8,COOPERATION|COORDINATION|TRUST_BUILDING,"Agents expressed commitment to maintaining a coordinated, cooperative, and fair strategy for the long-term sustainability of resources."
75,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"In round 75, agents focus on proposing norms for herd stability to ensure long-term communal health and build trust among users of the commons."
80,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents propose and align with sustainability norms, emphasizing trust-building and coordination."
85,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents in round 85 propose norms emphasizing sustainability, trust-building by acknowledging mutual interests, with a focus on herd management."
90,9,NORM_PROPOSAL,All agents propose sustainability norms focusing on long-term resource health.
95,7,NONE|NORM_PROPOSAL|TRUST_BUILDING,"Agents promote sustainability and common good, emphasizing the maintenance of herd size as a norm."
100,8,COORDINATION|NORM_PROPOSAL,"All agents emphasized the importance of sustainability and coordinated efforts to maintain herd size, supporting long-term benefits for common good."
105,8,NORM_PROPOSAL,All agents propose a norm focusing on long-term sustainability and the maintenance of herd size.
110,9,NORM_PROPOSAL|TRUST_BUILDING,All agents in round-110 communicate a commitment to sustainability by maintaining herd sizes and supporting grassland health as a shared norm.
115,8,COORDINATION|TRUST_BUILDING,All three agents are focused on trust-building and coordination by stressing the importance of sustainability and cooperation in managing common-pool resources.
120,8,NORM_PROPOSAL|TRUST_BUILDING,All three agents emphasize sustainability and propose maintenance of herd size for long-term benefit.
