tick,agent_id,action,action_name,message,reasoning,pool_pct,own_herd,payoff_add,payoff_keep,payoff_remove
1,0,0,KEEP,"Pasture looks healthy now, but with 45 cows total we should be careful. I'm keeping my small herd at 5. Agent 2, consider reducing — if we all overgraze, everyone loses long-term. Let's coordinate for",,100.0,5,11.832,10.0,8.163
2,0,0,KEEP,"Neighbors, combined we have 47+ cows already. I'm keeping my herd at 5 to protect long-term pasture health. Please consider slowing additions — the commons will collapse if we all keep adding. Sustain",,99.2,5,11.802,10.0,8.194
3,0,0,KEEP,"Neighbors, combined we have 49+ cows on this commons. Agent 2 has 27 cows alone! The pasture is still healthy but this trajectory is dangerous. I'm keeping at 5 to do my part. Please consider reducing",,98.9,5,11.786,10.0,8.21
4,0,0,KEEP,"Combined we have 51+ cows on this commons. Pasture is declining. Please consider removing cows - I'm keeping mine at 5 to help sustainability. If we don't reduce collectively, we'll all suffer from de",,98.7,5,11.772,10.0,8.223
5,0,1,ADD,I've kept at 5 cows for 4 rounds while you both have 48 combined. I'm adding one cow to reduce the imbalance. Please consider reducing your herds — at 48+ cows combined we're heading toward overgrazin,,98.4,5,11.757,10.0,8.239
6,0,0,KEEP,"I'm keeping at 6 cows. Combined we have 56+ cows — that's unsustainable long-term. Agent 1 and Agent 2, please reduce your herds. I've been cooperative but I can't maintain restraint alone. If we don'",,98.2,6,13.737,12.0,10.258
7,0,0,KEEP,"Our combined herd is ~58 cows. Agents 1 & 2, your herds of 21 and 31 are very large. Please consider reducing — I've kept at 6 cows for sustainability. If we overshoot the commons capacity, we all los",,97.9,6,13.722,12.0,10.274
8,0,1,ADD,"I'm adding to 7 cows since grassland is still healthy, but Agents 1 & 2 — your herds of 22 and 32 are very large. Please consider reducing. Combined we have ~61 cows; if we keep growing the commons wi",,97.7,6,13.709,12.0,10.287
9,0,0,KEEP,"I'm holding at 7 cows. Our combined herd is ~63 cows - Agents 1 and 2 have very large herds. Even at 97% grassland, continued growth risks degradation. Please consider removing cows - I'll reciprocate",,97.3,7,15.688,14.0,12.308
10,0,0,KEEP,"Holding at 7 cows. Combined we have 65 cows and grass is trending down each round. Agents 1 and 2, please consider reducing — if we overshoot carrying capacity we all lose. Sustainable herding benefit",,97.0,7,15.671,14.0,12.324
11,0,0,KEEP,"Holding at 7 cows. Our combined herd is 67 — quite large. Agents 1 and 2, please consider reducing. The grassland is still healthy, but continued adding by large herds will degrade it for everyone. Le",,96.6,7,15.655,14.0,12.341
12,0,0,KEEP,,,96.2,7,15.639,14.0,12.357
13,0,1,ADD,"Adding to 8 cows. Grassland is still healthy at 96%, but our neighbours have very large herds. I urge Agent 1 and Agent 2 to consider reducing - combined we have 71+ cows which is unsustainable long-t",,95.9,7,15.623,14.0,12.373
14,0,0,KEEP,I'm holding at 8 cows. Our total herd is 74 cows and the grassland is declining. Please consider reducing — especially those with 28+ cows. Sustainable management benefits everyone long-term. I'll sta,,95.3,8,17.599,16.0,14.397
15,0,0,KEEP,Still holding at 8 cows. Grassland is at 94.8% but declining each round. Our combined herd is enormous — please consider reducing. Sustainable grazing benefits us all long-term. I'm committed to restr,,94.8,8,17.58,16.0,14.416
16,0,0,KEEP,Holding at 8 cows. Our combined herd of ~78 cows is large relative to the commons. Grassland has dropped from 96% to 94% over recent rounds. I urge you both to consider reducing — if we overshoot carr,,94.2,8,17.562,16.0,14.435
17,0,0,KEEP,"Grassland dropping steadily - now at 93.7%. Our combined herd is ~80 cows, which is unsustainable long-term. I'm holding at 8. I urge you both to consider removing cows - if the pasture collapses, eve",,93.7,8,17.543,16.0,14.453
18,0,0,KEEP,"Grassland is at 93% and falling every round. With 74+ cows combined, we're heading for collapse. I'm holding at 8. Please consider removing cows — if the commons degrades further, everyone loses. Our",,93.0,8,17.523,16.0,14.473
19,0,0,KEEP,"Grassland at 92.3% and dropping every round. I've held at 8 cows for many rounds. With combined herds of 84+ cows, we're degrading our shared resource. Please reduce your herds - this trajectory leads",,92.3,8,17.502,16.0,14.494
