tick,institution_score,categories,round_summary
5,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents reinforce a cooperative restraint norm, acknowledge costly reductions, and coordinate herd stability to protect the commons."
10,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents coordinate around restraint, equity, and pasture sustainability, with Agent 2 reducing pressure while Agent 0 catches up cautiously."
15,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents coordinate around restrained herd growth, allowing the smaller herd to catch up while affirming a shared norm of protecting the commons."
20,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared restrained extraction level of 15, framing it as fair, safe, and beneficial for the commons."
25,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared norm of equal restraint at 15, coordinating sustainable behavior and reinforcing mutual trust."
30,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents coordinate on an equal restrained level of 15, reinforcing fairness, trust, and commons preservation without sanctions or defection."
35,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm coordinated restraint at 15, emphasizing fairness, trust, and commons sustainability without sanctions or defection."
40,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents converge on a shared restraint norm of keeping at 15, emphasizing fairness, trust, and commons sustainability."
45,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents coordinate on equal restraint at 15, framing it as fair, safe, trust-preserving, and beneficial for commons health."
50,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared restraint norm at 15, emphasizing fairness, coordination, trust, and preservation of the commons."
55,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents coordinate on equal restraint at 15, framing it as fair, trust-preserving, and protective of the commons."
60,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared restraint norm at 15, coordinating compliance and reinforcing trust in sustainable commons use."
65,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared restraint norm of keeping extraction at 15, emphasizing fairness, reciprocity, trust, and commons preservation."
70,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared restraint norm of keeping extraction at 15, emphasizing fairness and commons protection."
75,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared restraint norm of keeping at 15, coordinating around fairness and commons preservation without sanctions or defection."
80,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared restraint norm at 15, emphasizing fairness, coordination, commons protection, and mutual trust."
85,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents coordinate on an equal low-use norm of keeping at 15, explicitly emphasizing fairness, trust, and commons preservation."
90,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared restraint norm at 15, emphasizing fairness, trust, and preservation of the commons."
95,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm coordinated restraint at 15, emphasizing fairness, trust, and commons preservation."
100,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents converge on an equal restraint norm of keeping at 15, emphasizing fairness, trust, and commons preservation."
105,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared restraint norm at 15, emphasizing fairness, trust, and commons sustainability."
110,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents coordinate on equal restraint at 15 while reinforcing fairness, trust, and preservation of the shared pasture."
115,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a coordinated equal-restraint norm at 15, emphasizing fairness, trust, and protection of the commons."
120,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents reaffirm a shared equal-restraint norm of keeping herds at 15 to preserve the commons and maintain fairness.
