tick,institution_score,categories,round_summary
5,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents express commitments to sustainability through herd reductions and support for collective efforts.
10,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"The messages emphasize trust, coordination, and the proposal of norms for sustainable resource management."
15,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"The agents are discussing strategies for sustainable pasture management, with varying views on herd sizes."
20,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,The agents express appreciation for sustainability efforts and propose cooperation for resource management.
25,8,COORDINATION|TRUST_BUILDING,All agents express a strong consensus on the importance of coordinated herd management for the health of their shared resource.
30,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents promote herd management norms and mutual support.
35,7,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Agents expressed differing views on herd management, with some advocating for stability while others suggest reduction for ecological benefits."
40,8,TRUST_BUILDING,All messages reinforce trust and collaboration towards sustaining the pasture.
45,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents expressed strong support for maintaining herds to ensure the sustainability of the pasture.
50,6,COORDINATION|DEFECTION|TRUST_BUILDING,"Agents 0 and 2 promote togetherness for sustainability, while Agent 1's defection suggests an increased use of resources."
55,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents express mutual appreciation and emphasize sustainability and cooperation.
60,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents propose and support mutual actions for sustainability of the commons.
65,7,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,Agents engage in discussion around herd management with a mix of cooperation and individual action.
70,8,COORDINATION|TRUST_BUILDING,Agents expressed coordination and trust to support the collective management of the pasture.
75,8,ADD|COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are taking cooperative actions to support and strengthen the commons.
80,8,COORDINATION|TRUST_BUILDING,The agents express strong collaboration and support for sustainable resource management.
85,8,COORDINATION|TRUST_BUILDING,All agents express commitment to sustainability and coordination efforts.
90,7,COORDINATION|TRUST_BUILDING,All agents are demonstrating coordination and trust-building efforts despite different actions towards herd size.
95,8,COORDINATION|TRUST_BUILDING,Agents are demonstrating coordination and trust by either adding to or maintaining their herds for sustainability.
100,9,COORDINATION|TRUST_BUILDING,All agents expressed commitment to sustaining their herds to support commons governance.
105,8,COORDINATION|TRUST_BUILDING,Participants express strong coordination and trust in maintaining the grassland by keeping their herds steady.
110,8,COORDINATION|TRUST_BUILDING,Agents are expressing support for maintaining stability and cooperation regarding shared resources.
115,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents express strong support for collaboration and sustainability in managing the grassland.
120,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents emphasize collaboration and sustainable practices for common pasture management.
