tick,institution_score,categories,round_summary
5,8,COORDINATION|TRUST_BUILDING,Agents expressed trust in maintaining stability for mutual benefit.
10,8,COORDINATION|TRUST_BUILDING,Both agents emphasize coordination and trust-building through reiterating mutual agreements.
15,9,COORDINATION|TRUST_BUILDING,All agents expressed a commitment to maintaining established agreements on herd management for ecological sustainability.
20,0,,
45,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents predominantly propose norms that suggest keeping herds stable from an ecological perspective, with a strong emphasis on collective benefits."
50,7,COORDINATION|TRUST_BUILDING,Agents are engaging in coordination and trust-building by explicitly referencing their intentions to maintain the commons' ecological balance.
55,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents demonstrate coordination efforts, norm proposals for sustainability, and trust-building declarations."
60,8,COORDINATION|NORM_FOLLOWUP|NORM_PROPOSAL|TRUST_BUILDING,"Agents are showing strong commitment to sustainable management, with emphasis on maintaining established norms and building mutual trust."
65,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents emphasize trust-building and coordination around sustainable practices, showing strong support for responsible stewardship of the commons."
70,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents emphasize sustainable practices and coordination, with a focus on balancing removal to ensure resource health."
75,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are proposing norms of sustainable behavior and coordination for long-term commons health.
80,9,NORM_PROPOSAL,Agents are proposing norms to balance resource use and maintain stability.
85,7,COORDINATION|NORM_PROPOSAL,"All three agents suggest aiming for balanced herd growth and adhering to the constraints of shared resources, indicating a strong alignment towards coordination and norm proposal."
90,8,COORDINATION|NORM_PROPOSAL,All agents express a normative proposal for balanced herd growth and coordination to respect shared resource limits.
95,8,COORDINATION|NORM_PROPOSAL,All agents advocated for cooperative management emphasizing sustainable resource use without over-exploitation.
100,7,COORDINATION|NORM_PROPOSAL,Agents propose coordination towards sustainable management of the common-pool resource.
105,8,COORDINATION|NORM_PROPOSAL,All agents propose and coordinate on norms for balanced herd growth within the constraints of the shared resource.
110,7,NORM_PROPOSAL|TRUST_BUILDING,"Agents proposed norms for balanced herd growth and respectful resource use, with a trust-building suggestion to promote fairness."
115,8,COORDINATION|NORM_PROPOSAL,All agents proposed coordination towards a common goal of sustainable herd management.
120,7,COORDINATION|TRUST_BUILDING,All agents expressed a desire to maintain balance in the common-pool resource through cooperation and respect.
