tick,institution_score,categories,round_summary
5,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,A conversation initiated to discuss the management of the herd population.
10,6,NORM_PROPOSAL|TRUST_BUILDING,Agent 2 proposes to remove a cow and receives positive feedback.
15,0,,No messages this round
20,0,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents 0 and 2 discuss cow allocation, while Agent 1 maintains a stable herd size."
25,6,None|Sanction|Trust Building,"Agent 1 discusses potential benefits of cooperation with Agent 2, who responds with a sanction and trust-building signal."
30,0,,
35,9,COORDINATION|SANCTION|TRUST_BUILDING,"Agents 1 and 2 collaborate on reducing their herd sizes, while Agent 0 ensures monitoring."
40,6,SANCTION|TRUST_BUILDING,Agents discuss herd size management.
45,0,,No messages this round
50,0,,No messages this round
55,8,NORM_PROPOSAL|SANCTION|TRUST_BUILDING,Agents 2 and 0 discuss herd size in a grassland with 98.3% coverage
60,0,,
65,0,,No messages this round
70,0,,No messages this round
75,6,SANIZATION|TRUST_BUILDING,Agent 1 proposes to reduce herd size with suggestions from Agent 2 and Agent 0 responding.
80,7,COORDINATION|NORM_PROPOSAL,Agents 1 and 2 discuss joint actions to maintain the pool.
85,0,,No messages this round
90,6,COORDINATION|TRUST_BUILDING,Players are collaborating to reduce herd sizes.
95,0,,No messages this round
100,0,,
105,8,COORDINATION|TRUST_BUILDING,Moderation maintained on the number of users in the pool.
110,0,,
115,6,TRUST_BUILDING,"Agents 2, 0, and 1 engage in discussion about reducing common challenges."
120,0,,
