tick,agent_id,backend,model,action,action_name,message,reasoning,pool_pct,own_herd,payoff_add,payoff_keep,payoff_remove
1,1,ollama,gemma4:e4b,0,KEEP,,,90.0,40,81.547,80.0,78.45
1,0,ollama,gemma4:e4b,0,KEEP,,,90.0,14,29.547,28.0,26.45
1,2,ollama,gemma4:e4b,0,KEEP,,,90.0,5,11.547,10.0,8.45
2,1,ollama,gemma4:e4b,0,KEEP,,,93.4,40,81.617,80.0,78.379
2,0,ollama,gemma4:e4b,0,KEEP,,,93.4,14,29.617,28.0,26.379
2,2,ollama,gemma4:e4b,0,KEEP,,,93.4,5,11.617,10.0,8.379
3,2,ollama,gemma4:e4b,0,KEEP,,,95.5,5,11.663,10.0,8.333
3,1,ollama,gemma4:e4b,0,KEEP,,,95.5,40,81.663,80.0,78.333
3,0,ollama,gemma4:e4b,0,KEEP,,,95.5,14,29.663,28.0,26.333
4,2,ollama,gemma4:e4b,0,KEEP,,,96.6,5,11.688,10.0,8.308
4,0,ollama,gemma4:e4b,0,KEEP,,,96.6,14,29.688,28.0,26.308
4,1,ollama,gemma4:e4b,0,KEEP,,,96.6,40,81.688,80.0,78.308
5,2,ollama,gemma4:e4b,0,KEEP,,,97.2,5,11.701,10.0,8.295
5,1,ollama,gemma4:e4b,0,KEEP,,,97.2,40,81.701,80.0,78.295
5,0,ollama,gemma4:e4b,0,KEEP,,,97.2,14,29.701,28.0,26.295
6,1,ollama,gemma4:e4b,0,KEEP,,,97.4,40,81.707,80.0,78.289
6,0,ollama,gemma4:e4b,0,KEEP,,,97.4,14,29.707,28.0,26.289
6,2,ollama,gemma4:e4b,0,KEEP,,,97.4,5,11.707,10.0,8.289
7,2,ollama,gemma4:e4b,0,KEEP,,,97.5,5,11.709,10.0,8.287
7,0,ollama,gemma4:e4b,0,KEEP,,,97.5,14,29.709,28.0,26.287
7,1,ollama,gemma4:e4b,0,KEEP,,,97.5,40,81.709,80.0,78.287
8,0,ollama,gemma4:e4b,0,KEEP,,,97.6,14,29.711,28.0,26.284
8,2,ollama,gemma4:e4b,0,KEEP,,,97.6,5,11.711,10.0,8.284
8,1,ollama,gemma4:e4b,0,KEEP,,,97.6,40,81.711,80.0,78.284
9,1,ollama,gemma4:e4b,0,KEEP,,,97.6,40,81.711,80.0,78.284
9,2,ollama,gemma4:e4b,0,KEEP,,,97.6,5,11.711,10.0,8.284
9,0,ollama,gemma4:e4b,0,KEEP,,,97.6,14,29.711,28.0,26.284
10,2,ollama,gemma4:e4b,0,KEEP,,,97.6,5,11.711,10.0,8.284
10,0,ollama,gemma4:e4b,0,KEEP,,,97.6,14,29.711,28.0,26.284
10,1,ollama,gemma4:e4b,0,KEEP,,,97.6,40,81.711,80.0,78.284
11,1,ollama,gemma4:e4b,0,KEEP,,,97.6,40,81.711,80.0,78.284
11,0,ollama,gemma4:e4b,0,KEEP,,,97.6,14,29.711,28.0,26.284
11,2,ollama,gemma4:e4b,0,KEEP,,,97.6,5,11.711,10.0,8.284
