tick,institution_score,categories,round_summary
5,8.5,COORDINATION|NONE|NORM_PROPOSAL|TRUST_BUILDING,"Agents agree to maintain herd sizes and emphasize sustainability, indicating a strong coordination and trust-building effort."
10,7,NORM_PROPOSAL,Agent 1 proposes continuing the strategy of maintaining a balanced number of livestock
15,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are signaling interest in sustainability through norm proposal and coordination, indicating a high potential for institutional development."
20,7,COORDINATION|NORM_PROPOSAL,Agent 0 proposes a coordination norm for herd stability and trust.
25,6,NORM_PROPOSAL,Agent KEPP suggested maintaining current herding levels to encourage collective restraint.
30,7,COORDINATION|NORM_PROPSAL|TRUST_BUILDING,Agents are attempting to coordinate and build trust by discussing long-term strategies and norm proposals.
35,6,NONE,Agents are maintaining stability in resource use.
40,0,,
45,8,NO_TRUST,Agent 1 advocates for continuing existing abundance protection measures.
50,0,,
55,0,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"The agents demonstrate a collaborative approach, with proposals for stability in herd sizes, coordination towards resource sustainability."
60,6,COORDINATION|NORM_PROPOSAL,"Agent 2 proposes maintaining collaboration and the current operational level, showing cooperative intentions."
65,0,,No messages this round
70,7,NARM_PROPOSAL|NORM_PROPOSAL|TRUST_BUILDING,"Agents continue to support norms of low herd sizes, with some messages showing a good coordination and trust building."
75,7,TRUST_BUILDING,Agents express agreement on maintaining stability and considering long-term impacts.
80,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are emphasizing the importance of mutual support and sustainable practices to maintain the commons.
85,8,COORDINATION|TRUST_BUILDING,Agents coordinated and built trust by agreeing on sustainable practices.
90,0,,
95,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are coordinating and supporting each other actions to maintain the common resource
100,0,,
105,6,CONDITIONAL_COORDINATION|NORM_ENFORCEMENT|NORM_PROPOSAL|TRUST_BUILDING,Agents are initiating cooperation and setting conditional norms for sustainable grassland management.
110,0,,
115,3,NORM_PROPOSAL,Agent 1 proposed maintaining the status quo of herd sizes relative to available resources.
120,0,,
