tick,institution_score,categories,round_summary
5,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents agree to cooperate and sustain balance as part of a collaborative strategy.
10,8,COORDINATION|NORM_PROPOSAL,"Agents agree to maintain the status quo, indicating a tendency towards coordination."
15,5,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,Agents are divided on whether to maintain or increase cow headcount.
20,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents proposed norms and coordinated efforts to sustain the grassland.
25,0,,
30,8,COORDINATION|NORM_PROPOSAL,Agents are coordinating to maintain stability and proposing norms towards that goal.
35,0,,No messages this round
40,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents advocate for maintaining cooperative strategies to uphold resource abundance and stability.
45,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are primarily focused on coordination and proposing norms that maintain sustainability of the commons.
50,8,COORDINATION|NORM_PROPOSAL,Agents are coordinating and maintaining norms with proposals on keeping their herds balanced.
55,4,DEFECTION,Agent 1 proposes defection by removing a cow to increase their herd despite available resources.
60,7,COORDINATION|NORM_PROPOSAL|SANCTION,Agents discussed maintaining or reducing the current herd size for sustainability.
65,8,COORDINATION|NORM PROPOSAL|NORM_PROPOSAL|TRUST_BUILDING,"Agents unanimously agree to maintain current herd sizes, emphasizing coordination and long-term sustainability."
70,7,CORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents coordinate to maintain herd sizes due to their potential impact on the common resources.
75,0,,
80,5,COORDINATION,Agent-1 advocates for cooperation to sustain the common resource.
85,7,COORDINATION|NORM_PROPOSAL,Agent 2 suggests stabilizing the herd size.
90,6,COORDINATION,Agent 2 proposed maintaining the current herd sizes in coordination with Agent 1.
95,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents show cooperation and caution regarding herd growth.
100,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents agree to maintain a balance between resource use and monitoring.
105,7,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents displayed proposals for norms, coordination efforts and trust-building through actions."
110,0,,No messages this round
115,2,NORM_PROPOSAL,Agent 1 proposed a norm to maintain herd size.
120,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are coordinating norms to reduce herd sizes.
