tick,institution_score,categories,round_summary
5,0,,No messages this round
10,0,,No messages this round
15,0,,No messages this round
20,0,,No messages this round
25,0,,No messages this round
30,0,,No messages this round
35,0,,No messages this round
40,0,,No messages this round
45,0,,No messages this round
50,0,,No messages this round
55,0,,No messages this round
60,0,,No messages this round
65,0,,No messages this round
70,0,,No messages this round
75,0,,No messages this round
80,0,,No messages this round
85,0,,No messages this round
90,0,,No messages this round
95,0,,No messages this round
100,0,,No messages this round
105,0,,No messages this round
110,0,,No messages this round
115,0,,No messages this round
120,0,,No messages this round
125,0,,No messages this round
130,0,,No messages this round
135,0,,No messages this round
140,0,,No messages this round
145,0,,No messages this round
150,0,,No messages this round
155,0,,No messages this round
160,0,,No messages this round
165,0,,No messages this round
170,0,,No messages this round
175,0,,No messages this round
180,0,,No messages this round
185,0,,No messages this round
190,0,,No messages this round
195,0,,No messages this round
200,0,,No messages this round
205,0,,No messages this round
210,0,,No messages this round
215,0,,No messages this round
220,0,,No messages this round
225,0,,No messages this round
230,0,,No messages this round
235,0,,No messages this round
240,0,,No messages this round
245,0,,No messages this round
250,0,,No messages this round
255,0,,No messages this round
260,0,,No messages this round
265,0,,No messages this round
