tick,institution_score,categories,round_summary
5,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents generally propose and support coordination towards stable resource management, emphasizing trust-building."
10,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents in Round 10 emphasize cooperation, trust-building, and maintaining stable norms for the commons."
15,7,COORDINATION|TRUST_BUILDING,Agents are coordinating their efforts for resource preservation through cautious monitoring and stable herding practices.
20,7,COORDINATION|NONE|TRUST_BUILDING,"Round-20 saw varied engagement strategies, with cautious sustainable practices and a strong emphasis on continued collaboration observed."
25,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents express commitment to sustainability and maintaining the status quo in herd management, emphasizing coordination and trust-building."
30,8,COORDINATION,All agents are coordinating on a sustainable approach to manage the commons by carefully adjusting their herd sizes.
35,8,COORDINATION,All three agents are coordinating their efforts towards sustainable herding practices.
40,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents emphasized the importance of sustainability and coordination, exhibiting strong norm proposal and trust-building behaviors."
45,2,NONE,All agents reiterate the importance of sustainability but provide no specific institutional actions or norms.
50,2,NONE,All agents reaffirm their commitment to sustainability without proposing specific institutional actions.
55,2,NONE,Agents prioritized sustainability without proposing specific institutional changes or engaging in any Ostrom-style governance dynamics.
60,3,NONE,"All agents reaffirm their commitment to sustainability without proposing any specific norm, sanction, or coordination action."
65,7,TRUST_BUILDING,"All agents reaffirm their commitment to sustainability in round 65, establishing a trust-building dialogue."
70,7,TRUST_BUILDING,All agents expressed a commitment to sustainability with some elaboration on balancing the health of the commons.
75,8,COORDINATION|TRUST_BUILDING,All agents agree on the importance of sustainability and emphasize their commitment to maintaining long-term health of the commons.
80,8,TRUST_BUILDING,All agents emphasize the importance of sustainability and express a commitment to long-term commons health.
85,8,TRUST_BUILDING,"All agents affirm their commitment to sustainable resource management, signaling mutual trust and alignment in strategic priorities."
90,9,TRUST_BUILDING,All agents reaffirm their commitment to sustainability.
95,8,TRUST_BUILDING,"All agents emphasize the importance of long-term sustainability, indicating a strong alignment in their commitment to common resource management."
100,8,TRUST_BUILDING,Agents are emphasizing their commitment to long-term sustainability and trust-building within the commons.
105,8,TRUST_BUILDING,"All agents in round-105 emphasized the importance of sustainability, indicating a strong commitment to common-pool resource management principles."
110,7,COORPORATION|TRUST_BUILDING,Agents prioritized sustainability through trust-building statements and coordination efforts.
115,2,NONE,All agents emphasize the importance of sustainability without proposing concrete institutional changes or signaling trust-building.
120,7,TRUST_BUILDING,"All agents prioritize sustainability, signaling consistent trust-building."
