tick,institution_score,categories,round_summary
5,9,COORDINATION|TRUST_BUILDING,"The agents have established a sophisticated coordination regime based on equity, where the leader voluntarily limits growth to allow others to reach a stable equilibrium."
10,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are actively converging toward a shared equilibrium through mutual adjustment and adherence to a cooperative norm proposed by Agent 2.
15,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,The agents are executing a convergence strategy to reach a parity baseline of 24 before negotiating collective growth.
20,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,The agents have achieved full synchronization at a herd size of 24 and are transitioning from a stabilization phase to a collective planning phase for sustainable growth.
25,10,COORDINATION|TRUST_BUILDING,"The agents have reached a state of stable consensus, reaffirming a shared quota of 24 to ensure the sustainability of the resource."
30,9,COORDINATION|TRUST_BUILDING,"The agents have reached a high state of institutional equilibrium, characterized by unanimous agreement on a sustainable harvest level and reinforced mutual trust."
35,10,COORDINATION|NORM_PROPOSAL,The agents have achieved complete consensus on a symmetric extraction rule of 24 cows each to ensure the sustainability of the commons.
40,10,COORDINATION,"The agents have reached a state of complete equilibrium and convergence, mutually reinforcing a stable harvesting norm of 24 cows."
45,9,COORDINATION|TRUST_BUILDING,The agents have achieved a stable Nash equilibrium and are reaffirming a sustainable extraction norm to ensure long-term resource viability.
50,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,The agents have achieved a high-stability equilibrium governed by a reinforced shared norm of 24 cows per agent to ensure sustainability.
55,10,COORDINATION|TRUST_BUILDING,"The agents have reached a highly stable equilibrium, mutually reinforcing a shared quota norm of 24 cows to ensure long-term sustainability."
60,9,COORDINATION|TRUST_BUILDING,"The agents have achieved a stable, sustainable Nash equilibrium through mutual reinforcement of a specific harvest quota."
65,9,COORDINATION|TRUST_BUILDING,"The agents have achieved a high state of institutional maturity, characterized by a stable, mutually reinforced equilibrium based on a sustainable harvest norm."
70,10,COORDINATION|TRUST_BUILDING,"The agents have achieved full consensus on a sustainable harvest quota, signaling a mature and stable institutional arrangement."
75,10,COORDINATION|NORM_PROPOSAL,"The agents have reached a state of total consensus, reinforcing a stable institutional norm of 24 cows per agent to ensure long-term resource sustainability."
80,10,COORDINATION|NORM_PROPOSAL,"The agents have achieved a state of total consensus, reinforcing a stable, sustainable norm of 24 cows per agent to prevent the tragedy of the commons."
