tick,institution_score,categories,round_summary
5,0,,No messages this round
10,8.5,COORDINATION|TRUST_BUILDING,Agents discussed possible actions and maintained open communication.
15,0,,No messages this round
20,0,,No messages this round
25,6,COORDINATION,
30,6,COORDINATION|TRUST_BUILDING,Agents show interest in collective learning and collaboration.
35,0,,
40,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agent 2 suggests reviewing strategy
45,0,,No messages this round
50,0,,No messages this round
55,0,,No messages this round
60,7,NORM_PROPOSAL,Agent 0 proposes a reduction in herd size to promote sustainability.
