tick,institution_score,categories,round_summary
5,0,,No messages this round
10,6,TRUST_BUILDING,This conversation about the potential culling of Agent 2's cows involves both proposal-making and trust-building tactics.
15,7,COORDINATION,Agents 0 and 2 discuss potential adjustments to herd sizes.
20,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents discuss adding a cow to the commons.
25,6,DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"A coordinated proposal from Agent 1 and Agent 2 is proposed, followed by skepticism from Agent 1."
30,0,,
35,0,,
40,7,NORM_PROPOSAL|TRUST_BUILDING,Agents 0 and 2 discuss management strategies for their grassland herds.
45,8,TRUST_BUILDING,None
50,0,,
55,0,,
60,6,TRUST_BUILDING,Agents discussing cooperative reduction
65,0,,
70,0,COORDINATION|NORM_PROPOSAL|None|TRUST_BUILDING,
75,5,NONE|NORM_PROPOSAL|TRUST_BUILDING,Agents discuss alternative grazing arrangements.
80,6,TRUST.Building,Agents 2 and 0 discuss cooperation
85,0,,
90,0,,
95,2,COORDINATION,Agents Discuss the Importance of Herding Stability.
100,0,,
105,0,,
110,0,,
115,5,TRUST_BUILDING,Agents 1 and 2 propose a mutually beneficial agreement to maintain balance in the commons.
120,0,,
