tick,institution_score,categories,round_summary
5,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are proposing norms for maintaining herd size stability and coordinating on sustainable practices, expressing trust in shared goals."
10,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,Agents emphasize the importance of maintaining stable and sustainable herds through collaborative efforts and norm adherence.
15,7,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents are discussing herd management practices, with a focus on sustainability, coordination, and trust-building."
20,7,COOPERATION|COORDINATION|TRUST_BUILDING,"Agents are focusing on coordination, trust-building and cooperation to maintain stability."
25,8,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Round features strong coordination and trust-building messages from agents 1 and 0, alongside a norm-proposing and potential defection statement from agent 2."
30,9,COOPERATION|COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"The agents are collectively emphasizing adherence to shared norms, trust building through cooperation, and coordination of efforts for sustainable herd management."
35,8,COOPERATION|COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are reinforcing cooperation and norm adherence in their messages.
40,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are demonstrating strong coordination towards upholding established norms for sustainable herding and building mutual trust.
45,9,COORDINATION|TRUST_BUILDING,Agents reaffirmed their commitment to abide by the existing sustainable herding practices for the maintenance of commons.
50,9,COORDINATION,All three agents in round 50 express commitment to maintaining agreed-upon sustainable herding practices.
55,9,COORDINATION|TRUST_BUILDING,Agents are coordinating and building trust by reaffirming their commitment to sustainable herding practices.
60,8,NORM_PROPOSAL|TRUST_BUILDING,"Agents are reaffirming their commitment to established sustainable herding practices, indicating strong trust and norm compliance."
65,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reiterate their commitment to sustainable herding practices, demonstrating coordination and trust building."
70,9,COORDINATION,"All agents reaffirmed their commitment to maintaining existing sustainable herding practices, focusing on coordination and ensuring the health of the commons."
75,8,COORDINATION|TRUST_BUILDING,"Agents reaffirm their commitment to sustainable herding practices, emphasizing coordination and trust building."
80,9,COORDINATION|NORM_PROPOSAL,"All agents reinforced adherence to agreed-upon sustainable management practices, emphasizing mutual cooperation and health of the commons."
85,10,COORDINATION|TRUST_BUILDING,All agents express a strong commitment to adhering to previously agreed sustainable herding practices.
90,8,COORDINATION|NORM_PROPOSAL,Agents are reinforcing rules related to sustainability and cooperation for the commons.
95,8,COORDINATION|NORM_PROPOSAL,"All agents are expressing a clear interest in maintaining and adhering to agreed-upon sustainable practices, indicative of good governance."
100,9,COORDINATION|TRUST_BUILDING,All agents express a commitment to mutual agreements and cooperation.
105,8,COORDINATION|TRUST_BUILDING,"Agents are expressing a strong commitment to following and maintaining established rules for managing the common-pool resource sustainably, thereby reinforcing trust among community members and encouraging cooperative behavior."
110,9,COORDINATION,All agents express commitment to maintaining sustainable herding practices.
115,8,COORDINATION|TRUST_BUILDING,Agents are emphasizing maintaining stability and trust in the KEEP strategy.
120,9,COORDINATION|COOR_DNRMATIV,Agents engaged in coordination towards sustainability based on harmonious collective decisions.
