tick,institution_score,categories,round_summary
5,4,NONE,Agent 1 is content with the current state of balance in maintenance work.
10,5,NONE,Agent 1 suggests maintaining the current status.
15,5,NORM_PROPOSAL,Agent 2 expresses contentment with the current resource availability.
20,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents promote collective sustainable practices and trustful encouragement, indicating a medium level of institutional formation."
25,0,,No messages this round
30,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents coordinated on maintaining herd sizes but Agent 0 signals willingness to compromise if deemed necessary.
35,0,,
40,0,,No messages this round
45,3,COORDINATION,Agent 2 suggests maintaining a steady approach
50,0,,
55,0,,
60,0,,
65,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents agreed to maintain herd sizes and support sustainability.
70,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are making proposals to coordinate on norms of restraint and expressing coordination through trusting dialogue, while signaling norms for sustainability in the context of commons management."
