tick,institution_score,categories,round_summary
5,6,SANCTION|TRUST_BUILDING,Members of Round-5 discuss reciprocity and cooperation.
10,7,DEFECTION|TRUST_BUILDING,Agents 1 and 2 discuss the impact of their actions on the common-pool resource.
15,6,COORDINATION|DEFECTION|TRUST_BUILDING,Agents discuss balance of herd size.
20,0,,
25,6,TRUST_BUILDING,Agent 0 initiates a new message in attempt to foster cooperation.
30,8,COORDINATION|TRUST_BUILDING,Agent 0 initiates conversation about commons governance.
35,0,,No messages this round
40,0,,
45,6,TRUST_BUILDING,Agent 2 proposes a reduction in their herd size to maintain the grassland.
50,0,,No messages this round
