tick,institution_score,categories,round_summary
5,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents signal coordinated restraint by keeping herds steady to protect the healthy pasture from overuse.
10,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents collectively reaffirm restraint, express trust, and discuss coordinated conditional reductions to protect the commons."
15,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents reinforce coordinated restraint, monitoring, and asymmetric responsibility by larger herds, indicating strong trust-building and emerging governance norms."
20,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm steady behavior, mutual restraint, and protection of the commons, indicating strong cooperative norms without sanctions or defection."
25,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents coordinate around restrained growth, with larger herd-holder Agent 2 signaling self-limitation while smaller agents add modestly and endorse avoiding a growth race."
30,7,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Agents mostly reinforce a restraint norm and coordinate around sustaining the commons, though Agent 0 partially deviates by adding one cow while expressing conditional support for future restraint."
35,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents reaffirm coordinated restraint and express confidence in mutual compliance to preserve the commons for long-term benefit.
40,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents explicitly coordinate on continued restraint, reinforcing a shared sustainability norm without sanctions or defection."
45,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents commit to maintaining herd sizes, explicitly reinforcing restraint, mutual trust, and a shared conservation norm."
50,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents signal continued restraint and mutual coordination to preserve the healthy commons and sustain long-term returns.
55,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm restraint, coordinate around avoiding additions, and reinforce trust in maintaining the shared grassland."
60,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents reaffirm coordinated restraint and express trust that maintaining the current norm will preserve the shared pasture and returns.
65,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents signal continued restraint, mutual trust, and coordinated maintenance of the healthy commons."
70,7,COORDINATION|TRUST_BUILDING,All agents affirm continued restraint and frame coordinated keeping as a mutually beneficial strategy for preserving the common pasture.
75,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents signal continued restraint and mutual coordination to preserve the pasture and sustain shared returns.
80,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents signal continued restraint and mutual coordination to preserve the healthy grassland and stable shared returns.
85,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm restraint and herd stability, signaling coordinated conservation and mutual trust without sanctions or defection."
90,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents coordinate on continued restraint, reinforcing a shared norm of stable herd sizes to preserve the healthy commons and mutual returns."
95,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents signal continued restraint and mutual coordination to preserve the shared grassland and reliable collective returns.
100,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents signal coordinated restraint and fairness-oriented stewardship to preserve stable shared returns.
105,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm restraint and coordinated keeping, emphasizing trust and long-term resource preservation without sanctions or defection."
110,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents coordinate on continued restraint to preserve the common pasture and emphasize shared long-term returns, with some trust-building acknowledgment."
115,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents reaffirm a cooperative restraint norm by choosing to keep herds steady and emphasizing shared long-term benefits from maintaining the healthy commons.
120,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents mostly promote restraint, cautious coordination, and trust maintenance despite one limited increase under abundant pasture conditions."
