tick,institution_score,categories,round_summary
5,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents emphasize stability and coordination through maintaining current herd sizes and monitoring grassland health.
10,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are coordinating on a long-term sustainability strategy involving herd reduction.
15,6,COORDINATION|NONE|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Round 15 shows varying engagement with commons governance, but a strong inclination towards sustainability among removing agents."
20,8,COORDINATION|TRUST_BUILDING,"Agents are expressing intent to maintain herd sizes in line with sustainable and coordinated practices, emphasizing ecological stewardship."
25,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,Agents are predominantly proposing norms for maintaining herd stability while one suggests a sanction.
30,8,COORDINATION|TRUST_BUILDING,This round features agents collaborating and aligning with community norms for sustainable practices without explicit norm proposals or defections.
35,8,COORDINATION|NONE|SANCTION|TRUST_BUILDING,Most agents emphasize coordination and trust-building.
40,8,COOPERATION|COORDINATION|TRUST_BUILDING,"Agents are emphasizing cooperative and coordinated efforts towards the sustainability of shared resources, demonstrating a high level of trust in maintaining collective well-being."
45,8,COORDINATION|NONE,"Agents are predominantly coordinating their actions with the community's sustainability efforts, albeit one agent shows indecisiveness."
50,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents demonstrated strong commitment to community goals through messages focusing on responsible grazing practices and maintaining sustainable herd sizes.
55,8,COORDINATION|TRUST_BUILDING,"Agents align their actions with communal sustainability, emphasizing coordination and trust-building among peers."
60,9,COORDINATION|NORM_PROPOSAL,"Agents communicate a commitment to sustainable practices, propose norms, and coordinate efforts to maintain grassland health."
65,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents communicated a strong message focusing on sustainability, cooperation and trust-building."
70,8,NORM_PROPOSAL|TRUST_BUILDING,"Agents propose norms of sustainable stewardship for herd management, emphasizing trust and cooperation."
75,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents in round-75 focused on proposing norms of sustainability, building trust around shared responsibilities, and coordinating efforts to maintain herd stability."
80,7,COORDINATION|TRUST_BUILDING,"Agents predominantly prioritize coordination to maintain herd sizes while supporting commons health, with slight differentiation from Agent 0."
85,8,COORDINATION|TRUST_BUILDING,"Agents are coordinating their efforts to maintain and support the shared pasture, emphasizing trust among herders."
90,0,,
95,8,COORDINATION|TRUST_BUILDING,Agents in round 95 emphasize continued coordination and trust building regarding stable herd sizes.
100,8,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents exhibit balanced strategies towards commons management, focusing on coordination and norm proposals, with one agent suggesting removal for sustainability."
105,9,COORDINATION,All agents reaffirmed their commitment towards the collaborative and sustainable management of shared resources.
110,9,COORDINATION|TRUST_BUILDING,All agents expressed commitment to maintaining sustainable practices through coordination and trust-building signals.
115,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are coordinating and reinforcing trust in maintaining sustainable resource use.
120,8,COORDINATION|NORM_PROPOSAL,All agents propose maintaining the status quo of respecting sustainable limits.
