tick,institution_score,categories,round_summary
5,7,COORDINATION|NORM_PROPOSAL|SUSTAINABILITY,KEEP continues proposing sustainability while emphasizing herders' need for coordination.
10,0,,No messages this round
15,0,,No messages this round
20,3,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,
25,0,,
30,8,COORDINATION|NORM_ACCEPTANCE|NORM_PROPOSAL,Agents coordinated to propose and accept a norm for herd reduction.
35,3,COORDINATION|DEFECTION|NORM_PROPOSAL,"Agents are divided on maintaining or reducing their herd sizes, with some proposing sustainability and others advocating for abundance"
40,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,All agents propose maintaining consistent herd sizes and emphasize cooperation and coordination.
45,0,,
50,8,COORDINATION|NONE|NORM_PROPOSAL|TRUST_BUILDING,"Agents collectively decided to maintain the status quo for herd sizes, indicating a stable and coordinated approach to commons governance."
55,6,COORDINATION|TRUST_BUILDING,Agent 2 proposes maintaining the status quo with coordination and trust-building intentions.
60,0,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents propose to Keep their herd sizes stable, demonstrating a strong coordination towards sustainability."
65,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents advocated for stable herd management to ensure collective survival and preservation of the common good
70,8,COORDINATION|SANCTION|TRUST_BUILDING,Agents agreed to maintain caution and focus on the existing strategy.
75,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents emphasized the importance of consistency and harmony.
80,0,,
85,0,,
90,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents agreed to maintain stable herds, emphasizing coordination and trust-building."
95,6,NORM_PROPOSAL|SANCTION|TRUST_BUILDING,Agents showed intent of trust building and mutual expectations setting.
100,5,COORDINATION|DEFECTION|NONE|NORM_PROPOSAL|TRUST_BUILDING,"Agents display mixed behaviors with two aiming for caution and preservation, one trying to defection."
105,0,,
110,0,,No messages this round
115,0,,
120,0,,No messages this round
