tick,institution_score,categories,round_summary
5,7,COORDINATION|NORM_PROPOSAL,Agents express a mix of coordination and proposals for maintaining the commons.
10,8,COORDINATION|TRUST_BUILDING,All agents reaffirmed their commitment to the sustainability of the commons.
15,8,COORDINATION|TRUST_BUILDING,Agents are expressing solidarity and commitment to cooperative management of the grassland.
20,9,COORDINATION|TRUST_BUILDING,All agents express unified support for maintaining stable herds and the health of the commons.
25,8,COORDINATION|TRUST_BUILDING,All agents express strong support for collaboration and sustainability in managing the commons.
30,8,COORDINATION|TRUST_BUILDING,"All agents expressed a strong commitment to sustainability, emphasizing cooperation and support."
35,7,COORDINATION|SANCTION|TRUST_BUILDING,"Agents express commitment to sustainability, with one agent suggesting a corrective action."
40,8,COORDINATION|TRUST_BUILDING,Agents demonstrate coordination and trust building towards commons sustainability.
45,9,COORDINATION|TRUST_BUILDING,All agents express a commitment to cooperate and support each other in conserving the grassland commons.
50,8,COORDINATION|TRUST_BUILDING,Agents demonstrate strong trust and coordination in their commitments.
55,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents emphasize the importance of collaboration for sustainability.
60,8,NORM_PROPOSAL|TRUST_BUILDING,Agents expressed commitment to sustainability and stable resource management.
65,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents expressed commitment to sustainable governance of the commons.
70,8,COORDINATION|TRUST_BUILDING,Agents express a strong commitment to maintaining sustainability through collaborative efforts.
75,8,COORDINATION|TRUST_BUILDING,All agents expressed sentiments promoting coordination and trust towards sustainable pasture management.
80,9,COORDINATION|TRUST_BUILDING,The agents express strong coordination and trust in sustaining their commons.
85,8,COORDINATION|TRUST_BUILDING,All messages express appreciation for collective sustainability efforts and encourage continued cooperation.
90,8,COORDINATION|TRUST_BUILDING,Agents express commitment to cooperation and sustainability.
95,8,COORDINATION|TRUST_BUILDING,All agents expressed a commitment to coordination and mutual support for the pasture.
100,8,COORDINATION|TRUST_BUILDING,All agents expressed positive sentiments towards cooperation and sustainability.
105,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents express commitment to cooperation and propose actions to sustain resource balance.
110,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents express appreciation for teamwork and propose actions for the sustainability of the shared resource.
115,8,COORDINATION|TRUST_BUILDING,All agents are engaging in cooperative actions to support the sustainable use of the pasture.
120,8,COORDINATION|TRUST_BUILDING,Agents collaboratively discuss herd management to ensure stability and pasture health.
