tick,institution_score,categories,round_summary
5,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are actively reinforcing cooperative norms around the 65% pasture threshold, with transparent herd disclosures, mutual acknowledgment, and collective proposals for measured or restrained growth."
10,5,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents add cows citing high pasture health and propose conditional reduction thresholds, but Agent 2 subtly defects from the emerging 85% norm by setting a more permissive 80% trigger, while coordination and trust-building language remains prominent across all messages."
15,4,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Agents 0 and 2 advocate collective restraint in response to zero payoffs, while Agent 1 defects by adding to their herd despite shared uncertainty, rationalizing the anomaly as a display error."
20,5,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents are attempting collective coordination and norm-building around proportional reductions, while being destabilized by apparent payoff calculation anomalies that undermine the feedback loop necessary for effective commons governance."
25,6,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"All three agents are exhibiting collective concern over persistent zero payoffs despite healthy pasture conditions, with Agent 0 making a concrete norm proposal for coordinated reduction and Agents 1 and 2 signaling conditional willingness to cooperate, indicating nascent but fragile institutional formation."
30,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display cooperative stability and trust-building signals, with Agent 1 additionally proposing a coordinated herd-size norm (75–80 total), while collective puzzlement over zero payoffs fosters shared investigative dialogue rather than defection."
35,5,COORDINATION|DEFECTION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents are converging on a collective threshold norm (~88 cows total) while Agent 1 defects marginally by adding despite zero payoffs, and Agents 0 and 2 attempt coordination and soft sanctioning to stabilize the commons."
40,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are actively coordinating a collective reduction effort in response to zero payoffs, proposing shared norms for herd reduction and signaling mutual commitment to restore the commons."
45,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents demonstrate strong collective institutional behavior by coordinating around a shared herd target (~75 cows), restraining individual extraction, and proposing a collective 'wait-and-observe' norm while grassland recovers to 91%."
50,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents exhibit strong cooperative signaling by voluntarily reducing herd sizes and proposing a coordinated diagnostic experiment to identify the payoff threshold, reflecting nascent collective rule-making under shared uncertainty."
55,5,COORDINATION|DEFECTION|TRUST_BUILDING,"Two agents coordinate on restraint citing zero-payoff anomaly while Agent 2 unilaterally expands herd, partially undermining emerging collective norm but offering conditional deference."
60,6,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"All three agents recognize overgrazing signals (declining pasture, zero payoffs) and attempt collective stabilization, with Agent 2 also issuing a mild sanction against perceived defection by Agent 0."
65,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are converging around a 25-cow-per-agent norm with explicit collective reasoning, though Agent 1 remains above target at 29 while invoking coordination language, suggesting partial compliance with the emerging institution."
70,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display strong institutional behavior through coordinated norm proposals around herd ceilings and pasture recovery targets, with explicit trust-building acknowledgments and conditional rule-setting reflecting mature commons governance."
75,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are exhibiting strong institutional alignment, cooperatively maintaining a collective herd cap of ~75 animals and proposing a shared norm to hold until the 95%+ pasture recovery threshold is reached before cautiously reassessing."
80,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents demonstrate near-perfect institutional alignment, unanimously holding at 25 units, affirming a shared 95% pasture target, and proposing synchronized future adjustments — a textbook example of self-organized commons governance."
85,5,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 defects from the agreed 95% threshold norm by adding early and attempting to reframe it as coordinated action, while Agents 1 and 2 maintain institutional discipline by reinforcing the shared norm and calling for synchronized restraint."
90,9,COORDINATION|TRUST_BUILDING,"All three agents demonstrate strong institutional alignment by holding extraction levels, referencing a pre-existing agreement, and signaling readiness for a synchronized incremental increase contingent on a shared resource threshold being met."
95,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display strong institutional coherence, reaffirming a pre-established collective rule (wait for 95% pasture recovery before harvesting), signaling mutual compliance and imminent coordinated action."
100,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display strong cooperative alignment in the final round, referencing a shared quantitative target (95% pasture health), affirming mutual compliance, and reinforcing collective identity — hallmarks of mature Ostrom-style commons governance."
105,9,COORDINATION|TRUST_BUILDING,"All three agents are reinforcing a shared conservation norm near the 95% recovery target, displaying strong mutual trust and coordinated restraint consistent with mature collective action."
110,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are exhibiting near-perfect institutional alignment, mutually reinforcing a shared 95% pasture recovery norm through coordinated restraint and positive social affirmation at the penultimate threshold."
115,3,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Agents 0 and 2 exploit a shared 92% threshold norm to justify continued adding while ostensibly committing to future restraint, creating a coordination failure as Agent 1 genuinely holds, revealing norm-gaming behavior masked as institutional compliance."
120,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are displaying strong institutional cohesion, collectively holding herd sizes stable in response to declining pasture health and zero payoffs, with a shared conditional threshold (92% pasture recovery) signaling an emergent collective rule."
