tick,institution_score,categories,round_summary
5,8,TRUST_BUILDING,Agents engage in cooperative behavior by maintaining their herd sizes and expressing appreciation for each other's balanced approaches.
10,8,COORDINATION|TRUST_BUILDING,"All agents expressed a commitment to maintaining herd stability and sustainable practices, showing strong alignment with communal governance principles."
15,8,COORDINATION|TRUST_BUILDING,All agents are aligning on maintaining their herds to support sustainable practices and communal well-being.
20,7,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents focused on cooperative and cautious behavior, emphasizing trust in others' actions towards sustainable resource management."
25,7,COORDINATION|NONE|SANCTION|TRUST_BUILDING,"Agents aim to maintain or slightly increase herd sizes, with varying commitment towards sustainable and cooperative practices."
30,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents support stable herd numbers aimed at equitable resource use and communal interest.
35,8,COORDINATION|TRUST_BUILDING,Participants emphasize maintaining or slightly adjusting their herds within the constraints of sustainability and mutual understanding.
40,7,COORDINATION|TRUST_BUILDING,"Agents primarily engaged in coordination to maintain herd stability and sustainability, with some trust-building behavior."
45,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are engaging in coordination and trust-building initiatives to promote communal sustainability through regulated grazing practices.
50,8,COORDINATION|TRUST_BUILDING,All agents maintain their current herd sizes as part of a commitment to sustainable grazing practices and coordinated management.
55,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are showing caution and considerateness towards the common-pool resource, with a focus on balancing individual needs with community goals."
60,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are engaging in cooperative behavior, reflecting on and adhering to sustainable practices."
65,8,COORDINATION|TRUST_BUILDING,"Agents demonstrated a cooperative approach to maintaining herd sizes and avoided overexpansion, fostering mutual trust."
70,8,COORDINATION|TRUST_BUILDING,All agents express a commitment to cooperative and sustainable management practices.
75,9,COORDINATION,All agents express intent for continuing cooperative governance but vary slightly in action details.
80,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Agents are predominantly engaging in coordination and trust-building activities focused on maintaining sustainable herd management.
85,0,,
90,8,COORDINATION|TRUST_BUILDING,All messages reflect a commitment to ongoing cooperation and sustainable resource management.
95,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,This round focuses heavily on maintaining cooperation and sustainability with balanced mentions of norm proposals.
100,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents emphasize collaborative norms, trust building through mutual management, and coordination of herd maintenance for sustainability."
105,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents emphasize the importance of long-term sustainability and cooperative management of the pasture.
110,8,COORDINATION|SANCTION|TRUST_BUILDING,Agents are showing a mix of coordinated behavior and slight individual adjustments.
115,9,COORDINATION|TRUST_BUILDING,Agents express intent to maintain sustainable balance through trust and coordination.
120,8,COORDINATION|NORM_PROPOSAL,"All agents advocate for collective benefit through cooperation and coordination, expressing commitment to maintaining shared resources effectively."
