tick,institution_score,categories,round_summary
5,6,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Two agents maintain cooperative restraint and propose collective norms around a sustainable herd ceiling, while Agent 1 defects marginally by adding a cow but softens it with a conditional threshold norm and continued appeals to coordination."
10,4,COORDINATION|DEFECTION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents 0 and 1 invoke prior commitments and apply social pressure on Agent 2 to reduce its outsized herd, while Agent 2 deflects accountability by reframing the call for reduction as a collective 'maintain or reduce slightly' norm, effectively defecting on its earlier pledge."
15,6,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"All three agents are adding to their herds while simultaneously proposing conditional thresholds and soft sanctions, reflecting a tension between individual opportunism and nascent collective rule-making around pasture health targets."
20,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents demonstrate strong institutional alignment by proposing and endorsing a collective holding norm tied to a pasture health threshold, exhibiting classic Ostromian self-governance through conditional commitments and shared monitoring."
25,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are adding cows while collectively affirming a shared 94% pasture threshold as a conditional withdrawal norm, demonstrating coordinated incremental exploitation with embedded self-correction commitments."
30,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display strong collective restraint and norm reinforcement, unanimously agreeing to hold extraction levels until pasture health stabilizes above 95%, demonstrating mature institutional coordination."
35,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display strong institutional alignment, reaffirming a clear collective rule (hold until pasture exceeds 95%) and reinforcing mutual trust through consistent, transparent reporting of their own restraint."
40,5,COORDINATION|DEFECTION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agent 0 defects by adding a cow while offering a conditional norm, Agent 2 applies a soft sanction and reaffirms discipline, and Agent 1 reinforces collective restraint with a capacity-based norm proposal, indicating a stressed but partially functional governance regime."
45,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are converging on a shared conditional withdrawal threshold (93% pasture health), demonstrating strong norm crystallization, mutual commitment, and cooperative institutional behavior."
50,5,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Two agents incrementally defect by adding cows while invoking the shared 93% threshold norm as justification, while one agent holds firm and reinforces collective coordination, revealing a tension between norm compliance in rhetoric and opportunistic expansion in behavior."
55,6,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Coordination norms are active but partially undermined by Agent 0 unilaterally adding a cow while pasture hovers just above a shared threshold, while Agents 1 and 2 hold steady and reference collective recovery targets."
60,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents demonstrate strong collective governance by unanimously holding extraction levels, referencing a shared 93% recovery threshold as a conditional rule, and reinforcing mutual patience and trust."
65,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents demonstrate strong collective restraint and mutual accountability, maintaining a coordinated holding strategy while Agent 1 tentatively floats a norm proposal for further reductions to achieve the shared 93% recovery target."
70,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are actively engaged in cooperative resource management, reinforcing a shared 93% recovery target, acknowledging contributions, and proposing a sequential stabilization norm, indicating strong institutional coordination."
75,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display strong cooperative institutional behavior, explicitly proposing a stabilization equilibrium, acknowledging collective risk of overshooting, and committing to hold current herd sizes while monitoring pasture health."
80,9,COORDINATION|TRUST_BUILDING,"All three agents display highly stable, mutually reinforcing cooperative messaging at round 80, confirming a robust and self-sustaining commons governance equilibrium with consistent herd sizes and near-pristine pasture health."
85,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents demonstrate strong institutional alignment through unanimous commitment to collective restraint, data-informed reasoning about resource decline, and mutual reinforcement of a shared holding norm."
90,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents exhibit strong institutional alignment, consistently referencing a shared 90% pasture threshold rule, committing to coordinated action, and reinforcing mutual trust through affirming language."
95,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Two agents incrementally expand herds while invoking a shared 90% pasture threshold norm, and the third exercises voluntary restraint to prevent simultaneous over-extraction, reflecting strong collective-action awareness."
100,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents exhibit strong cooperative signaling at round 100, collectively reinforcing a restraint norm and celebrating successful resource recovery above 90%, reflecting mature self-governance consistent with Ostrom's principles."
105,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display strong cooperative signaling, holding extraction levels steady and explicitly invoking collective restraint and long-term coordination norms in response to a slight pasture decline."
110,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents exhibit strong institutional alignment, reaffirming a collectively agreed threshold-based holding rule (90% pasture recovery) and signaling openness to adaptive rule revision if conditions worsen."
115,7,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Agents 1 and 2 maintain the hold agreement while Agent 0 unilaterally reduces by one cow, framing the deviation as pro-collective action; all three reinforce a shared threshold trigger at 85% for coordinated removal."
120,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display strong collective discipline, reinforcing a shared 90% pasture recovery norm, expressing mutual trust, and proposing cautious conditional expansion—hallmarks of mature Ostromian self-governance."
