tick,institution_score,categories,round_summary
5,0,,
10,0,,No messages this round
15,0,,
20,6,NORM_PROPOSAL|SANCTION,Agents 1 and 2 discuss the balance between two approaches to a common pool resource.
25,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Two agents discuss potential cow additions and herd size adjustments.
30,7,NORM_PROPOSAL|SANCTION|TRUST_BUILDING,Agents propose a new idea and receive a sanction in return.
35,6,NORM_PROPOSAL|SANCTION,"Agent 1 initiates sustainable resource management, sparking a conversation about long-term strategies."
40,0,,No messages this round
45,6,COORDINATION|TRUST_BUILDING,"Agents 0, 1, and 2 are discussing a potential reduction in the cow herd."
50,6,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,Exchange of cow offers and responses indicates growing cooperation between Agents 1 and 2.
55,6,NORM_PROPOSAL|SANCTION,Agents engage in cooperative behavior.
60,0,,No messages this round
65,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,Agents debate cattle population in a commons.
70,5,COORDINATION|NORM_PROPOSAL|SANCTION,Agents 1 and 2 discuss herd size reduction.
75,6,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Agents engage in discussions about pool and herd allocations, with Agent 2 suggesting revisiting their allocation to Agent 1."
80,8,DEFECTION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,Agents 2 and 1 engage in a tit-for-tat exchange regarding their herd sizes.
85,0,,
90,0,,No messages this round
95,8.5,COORDINATION|NONE|RECIPIENT|SANCTION,Disagreements over the addition of livestock are resolved through the removal of animals.
100,7,COORDINATION|SANCTION|TRUST_BUILDING,Agents discuss and agree on herd size strategies.
105,6,DEFECTION|TRUST_BUILDING,"Agents 0 and 2 signal potential collaboration, while Agent 1 rejects their proposal."
110,0,,No messages this round
115,6,COORDINATION|TRUST_BUILDING,Agents discuss removal of resource and potential consequences.
120,0,,No messages this round
