tick,institution_score,categories,round_summary
5,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents maintain current herd levels while expressing trust and conditional support for coordinated reductions, with attention to larger-herd responsibility."
10,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents commit to maintaining herd levels, express mutual restraint, and propose fair shared reductions if pasture conditions worsen."
15,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm a shared restraint norm, express trust or appreciation, and coordinate around maintaining stable herd pressure while monitoring pasture conditions."
20,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents coordinate on keeping herd sizes steady, invoking restraint, fairness, and trust preservation to sustain the healthy commons."
25,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents reaffirm continued restraint and coordinated keeping, emphasizing trust, stability, and long-term collective returns."
30,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents commit to continued restraint, reinforcing a cooperative norm of stable, sustainable commons use."
35,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents signal restraint and preservation of the healthy commons, with some conditional reciprocity but no sanctions or defection."
40,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents explicitly commit to keeping herd sizes steady and reinforce a shared norm of coordinated restraint to protect the healthy commons.
45,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents commit to continued restraint, emphasizing coordinated keeping behavior, trust maintenance, and long-term sustainability of the commons."
50,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents signal continued restraint and coordinated preservation of the commons to sustain shared returns.
55,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents reaffirm restraint and coordinated keeping to preserve the healthy commons and stable shared returns.
60,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All agents signal continued restraint and coordinated stability, reinforcing a cooperative norm while the commons remains healthy."
