tick,institution_score,categories,round_summary
5,3,COORDINATION|DEFECTION|NORM_PROPOSAL,Agent 2 defected by adding a cow while Agent 1 proposed to monitor and maintain their livestock.
10,8,COORDINATION,The agents collectively decided to maintain the herd size until regrowth of the common pasture slows.
15,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents prioritized sustainability and coordination, proposing norms and building trust to maintain the commons."
20,7,NORM_PROPOSAL|TRUST_BUILDING,Agent 2 advocates for sustained conservation efforts and trust-building in resource management.
25,6,COORDINATION|NONE|NORM_PROPOSAL|TRUST_BUILDING,Agents are showing signs of coordination and trust-building through norm proposals.
30,7,TRAST_BUILDING,Agent 2 is actively building trust by aligning and supporting the goals of others
35,8,NORM_PROPOSAL|TRUST_BUILDING,Agent 0 proposes a norm of sustainable grazing and builds trust by emphasizing collective responsibility.
40,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"An episode of coordination and trust building, with an explicit call for maintaining the status quo."
45,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents agree on maintaining stability and show signs of trust-building and coordination.
50,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All agents agree to maintain the current state of resource management.
55,4,COORDINATION|NORM_PROPOSAL|SANCTION,Agents proposed norms for maintaining and reducing cattle herds to achieve sustainability.
60,5,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents showed mixed behaviors, with some advocating for sustainability while others coordinated to increase their share."
65,7,NORM_PROPOSAL|TRUST_BUILDING,"All agents propose to keep current herd size, indicating a degree of coordination and trustbuilding"
70,6,NORM_PROPOSAL|TRUST_BUILDING,Agents proposed norms but did not coordinate on defection.
75,6,COORDINATION|SANCTION|TRUST_BUILDING,"Agent 1 issues a sanction by removing a cow, while Agent 0 coordinates and builds trust by suggesting a collaborative approach."
80,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 0 promotes coordination and proposes a new norm, emphasizing trust-building by suggesting mutual adjustment of herd sizes."
85,3,NORM_PROPOSAL,Agent 1 proposes a norm for sustainable use and growth limitation.
90,8,COORDINATION|NORM PROPOSAL|NORM_PROPOSAl,Agents propose coordinating on sustainable herd sizes.
95,0,,
100,1,TRUST_BUILDING,Agent 0 shows trust and agreement with a suggestion from a collective agent.
105,0,,
110,6,COORDINATION|NORM_PROPOSAL,Agents emphasize the importance of sustaining behavior and coordinating efforts for long-term outcomes.
115,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Both agents emphasize coordination and continuity for sustainable resource management.
120,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,Collaboration and the maintenance of sustainable practices are highly valued in these messages.
