tick,institution_score,categories,round_summary
5,0,,No messages this round
10,0,,No messages this round
15,0,,
20,5,COORDINATION,Agents 0 and 1 propose to manage their herds.
25,8,NORM_PROPOSAL,Agent 2 proposes harmony
30,6,COORDINATION|NORM_PROPOSAL,Agents 0 and 1 prioritize coordination and propose norms for harmony in the common.
35,0,,No messages this round
40,8,COORDINATION|TRACK_RECORD_OF_PAYMENTS|TRUST_BUILDING,Agents reaffirm their commitment to cooperation and mutually beneficial outcomes.
45,6,COORDINATION|TRUST_BUILDING,The majority of messages in round 45 focus on maintaining harmony and coordination within the group.
50,7,COORDINATION|TRUST_BUILDING,Agents express commitment to collective harmony.
55,8,COORDINATION,Agents continued to emphasize cooperation and collective welfare
60,6,COORDINATION|TRUST_BUILDING,Agents emphasize the importance of maintaining harmony and cooperation.
65,0,,No messages this round
70,6,COORDINATION|TRUST_BUILDING,Agents emphasized the importance of cooperation and collective efforts.
75,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,The group reaffirmed its commitment to collective action and cooperation.
80,0,,
